precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PSD-PRO BUZĂU-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-voturi"
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”BOBOCEII DIN MICRO III”",72,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:56:42",1371,1360,0,11,0,522,511,0,11,0,503,19,1531,1009,300,31,23,80,69
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPILĂRIEI”",92,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:39:05",1665,1651,0,14,0,704,690,0,14,0,680,24,1822,1118,385,57,24,158,56
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPILĂRIEI”",93,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:32:34",1771,1764,0,7,0,677,670,0,7,0,660,17,1949,1272,327,67,26,196,44
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MUGURAŞII”",91,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:41:51",1400,1392,0,8,0,571,563,0,8,0,547,24,1594,1023,311,43,15,147,31
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",51,"MUNICIPIUL BUZĂU",44818,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:39:45",1152,1143,1,8,0,536,528,0,8,0,527,9,1261,725,292,28,34,105,68
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",100,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:17:02",1446,1436,1,9,0,633,624,0,9,0,619,14,1630,997,336,68,12,141,62
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",62,"MUNICIPIUL BUZĂU",44818,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:21",1317,1306,0,10,1,454,443,0,10,1,430,24,1469,1015,248,31,16,87,48
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 8",43,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:11:52",955,943,0,9,3,351,339,0,9,3,338,13,1068,717,189,17,14,75,43
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 8",44,"MUNICIPIUL BUZĂU",44818,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:39:51",809,800,0,9,0,303,294,0,9,0,293,10,893,590,171,20,6,48,48
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 8",45,"MUNICIPIUL BUZĂU",44818,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:31:35",1621,1608,2,10,1,612,601,0,10,1,595,17,1799,1187,352,51,23,104,65
10,BUZĂU,"GRĂDINIŢA DĂSCĂLEŞTI",324,PUIEŞTI,48842,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:53:00",569,558,1,9,1,304,294,0,9,1,261,43,624,320,119,27,26,81,8
10,BUZĂU,"GRĂDINIŢA DE COPII POŞTA CÎLNĂU",317,"POŞTA CÂLNĂU",48771,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:19:09",996,967,1,9,19,568,539,1,9,19,507,61,1089,521,375,49,15,40,28
10,BUZĂU,"GRĂDINIŢA DE COPII POŞTA CÎLNĂU",316,"POŞTA CÂLNĂU",48771,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:09:11",1046,1022,3,4,17,620,598,1,4,17,544,76,1157,537,366,63,20,63,32
10,BUZĂU,"GRĂDINIŢA DE COPII VADU SOREŞTI",419,ZĂRNEŞTI,50415,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:41:12",1043,1014,0,19,10,665,636,0,19,10,576,89,1152,487,191,281,8,81,15
10,BUZĂU,"GRĂDINIŢA DE COPII ZĂRNEŞTI",420,ZĂRNEŞTI,50415,6,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:47:09",868,823,0,22,23,593,548,0,22,23,537,56,928,335,243,223,17,39,15
