precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL VERDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi"
28,MUREŞ,"CĂMINUL CULTURAL VĂTAVA",552,VĂTAVA,120138,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:15",666,635,0,18,13,479,448,0,18,13,420,59,700,221,131,4,5,234,15,17,1,8,0,5,0
28,MUREŞ,"CĂMINUL CULTURAL VIŞINELU",183,"ORAŞ SĂRMAŞU",119242,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:22",393,365,0,20,8,274,246,0,20,8,257,17,400,126,53,2,6,144,33,4,2,5,4,2,2
28,MUREŞ,"CĂMINUL CULTURAL VOINICENI",303,"CEUAŞU DE CÂMPIE",115959,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:26:57",932,924,2,5,1,533,527,0,5,1,502,31,1020,487,148,12,60,137,45,6,5,53,26,10,0
28,MUREŞ,"CASA ”APOLLO” (ŞCOALA DE ARTE)",1,"MUNICIPIUL TÂRGU MUREŞ",114319,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:44:27",1422,1283,111,25,3,591,563,0,25,3,575,16,1400,809,46,270,43,72,25,8,9,24,39,6,33
28,MUREŞ,"CASA DE CULTURĂ DR. ”EUGEN NICOARA”",108,"MUNICIPIUL REGHIN",114809,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:46:30",1267,1236,1,15,15,600,571,0,15,14,580,20,1360,760,85,179,14,197,12,17,7,39,15,11,4
28,MUREŞ,"CASA DE CULTURĂ IERNUT",153,"ORAŞ IERNUT",117827,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:21:41",1323,1300,3,16,4,661,641,0,16,4,636,25,1430,769,199,91,81,184,25,9,4,16,10,12,5
28,MUREŞ,"CASA DE CULTURA LUNCA BRADULUI",442,"LUNCA BRADULUI",118058,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:44:12",1267,1206,0,37,24,785,724,0,37,24,715,70,1306,521,327,63,41,208,10,31,7,6,7,9,6
28,MUREŞ,"CASA DE CULTURĂ MIHAI EMINESCU",138,"MUNICIPIUL TÂRNĂVENI",114925,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:28",1198,1186,0,12,0,412,400,0,12,0,383,29,1310,898,102,36,20,133,24,32,9,13,10,3,1
28,MUREŞ,"CASA DE CULTURĂ ”POMPEIU HĂRĂŞTEANU” - LUDUȘ",165,"ORAŞ LUDUŞ",114710,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:18:10",1544,1533,2,6,3,645,636,0,6,3,618,27,1720,1075,254,98,37,146,13,7,7,24,5,27,0
28,MUREŞ,"CASA DE CULTURĂ ”VASILE CONȚIU” RÂCIU",490,RÂCIU,118995,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:38:24",1249,1227,1,10,11,799,778,0,10,11,694,105,1340,541,100,6,97,207,49,25,3,8,105,93,1
28,MUREŞ,"CASA DE TINERET VĂLENII",217,ACĂŢARI,114970,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:23:21",663,646,0,3,14,297,280,0,3,14,292,5,710,413,4,281,0,0,0,0,0,0,2,1,4
28,MUREŞ,"CASĂ PARTCULARĂ PROPRIETATEA LUI MÁJAI PETER",549,VĂRGATA,120076,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:54",156,146,0,7,3,59,49,0,7,3,52,7,160,101,5,45,1,0,0,0,0,1,0,0,0
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",435,LIVEZENI,117925,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:25",1117,1088,20,5,4,531,520,2,5,4,511,20,1214,683,22,376,10,37,9,1,2,15,22,5,12
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",434,LIVEZENI,117925,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:54:15",936,925,4,7,0,460,453,0,7,0,436,24,991,531,25,198,24,88,28,3,8,29,19,5,9
28,MUREŞ,"CENTRUL CULTURAL ”DOMOKOS KÁZMÉR” SOVATA",199,"ORAŞ SOVATA",114854,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:26:40",1561,1546,2,8,5,691,678,0,8,5,622,69,1700,1009,17,574,2,10,1,1,3,3,1,1,9
28,MUREŞ,"CENTRUL CULTURAL ”MIHAI EMINESCU”",31,"MUNICIPIUL TÂRGU MUREŞ",114319,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:47:30",930,806,83,18,23,452,413,0,18,21,441,11,890,438,40,248,21,65,11,4,4,18,18,2,10
28,MUREŞ,"CENTRUL DE DOCUMENTARE ȘI INFORMARE",423,IBĂNEŞTI,117550,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:36:27",1320,1304,0,1,15,826,810,0,1,15,797,27,1450,626,379,9,51,313,12,10,0,4,9,10,0
28,MUREŞ,"CENTRUL NAȚIONAL DE INFORMARE ȘI PROMOVARE TURISTICĂ SOVATA",198,"ORAŞ SOVATA",114854,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:38:27",467,452,5,10,0,197,187,0,10,0,183,14,500,303,11,143,1,14,3,1,0,0,4,2,4
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",58,"MUNICIPIUL TÂRGU MUREŞ",114319,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:48:27",1435,1423,2,10,0,575,565,0,10,0,434,141,1570,995,68,201,20,25,31,17,1,5,21,3,42
