precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ” CAZACI ”",317,NUCET,68280,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:22:07",1210,1193,1,1,15,672,656,0,1,15,649,23,1314,642,138,7,423,5,59,8,2,1,6,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ COJASCA",180,COJASCA,66697,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:47:50",1074,917,0,139,18,800,643,0,139,18,751,49,1000,200,225,27,444,4,45,1,2,1,2,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ COJASCA",181,COJASCA,66697,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:49:28",705,679,0,23,3,543,517,0,23,3,501,42,740,197,278,5,199,2,12,2,0,2,1,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALÃ ”CONSTANTIN SECÃREANU” RUNCU",366,RUNCU,68716,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:44",1050,1043,0,6,1,483,476,0,6,1,446,37,1150,667,108,15,178,8,100,8,5,4,20,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CORBII MARI",194,"CORBII MARI",66857,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:48:34",1396,1384,1,11,0,880,869,0,11,0,805,75,1529,649,59,23,649,17,31,4,9,5,7,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CORNEŞTI",208,CORNEŞTI,67014,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:00:40",1377,1321,0,54,2,887,831,0,54,2,822,65,1460,573,344,9,189,42,197,5,4,21,10,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ COSTEȘTII DIN VALE",215,"COSTEŞTII DIN VALE",67121,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:06:14",1251,1236,0,6,9,651,636,0,6,9,609,42,1365,714,376,8,171,21,21,6,1,2,3,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ CROVU",325,ODOBEŞTI,68342,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:50:08",1083,1076,0,7,0,717,710,0,7,0,601,116,1190,473,296,11,174,3,61,51,1,3,1,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII GURA BĂRBULEȚULUI",140,BĂRBULEŢU,66223,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:42",464,464,0,0,0,284,284,0,0,0,260,24,510,226,38,7,154,3,51,0,0,1,5,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DÂRZA",222,CREVEDIA,102286,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:55:23",1465,1413,3,43,6,925,876,0,43,6,876,49,1550,625,223,19,439,6,18,11,6,2,148,4
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DECINDENI –DRAGOMIREŞTI",239,DRAGOMIREŞTI,67407,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:57:52",1041,1031,0,8,2,652,642,0,8,2,595,57,1138,486,143,27,358,10,38,6,3,2,8,0
