precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-voturi","ALIANȚA PSD-PPU (sl)-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","BLOCUL UNITĂȚII NAȚIONALE-voturi","BRÂNCOVAN CRISTIAN TIBERIU-voturi"
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA BILED",330,BILED,155911,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:33:44",1557,1495,0,15,47,787,725,0,15,47,725,62,1704,917,31,43,46,317,4,1,179,67,9,5,1,0,15,4,1,2
37,TIMIŞ,"SCOALA GIMNAZIALA COMUNA DAROVA",372,DAROVA,156623,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 16:11:27",1748,1718,4,11,15,786,759,1,11,15,696,81,1900,1114,40,44,63,213,5,8,109,165,11,3,7,2,15,4,2,5
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA MOȘNIȚA NOUĂ",475,"MOŞNIŢA NOUĂ",157834,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:32:11",1398,1374,10,8,6,671,657,0,8,6,649,22,1500,829,23,23,24,187,24,12,59,220,10,10,19,2,3,11,0,22
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ COMUNA SĂCĂLAZ",533,SĂCĂLAZ,158564,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:19:05",1936,1876,11,37,12,1014,962,3,37,12,977,37,2000,986,65,50,199,273,26,14,121,165,5,13,3,3,12,5,1,22
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ COMUNA SĂCĂLAZ",534,SĂCĂLAZ,158564,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:19:41",1884,1851,1,25,7,898,866,0,25,7,819,78,2000,1102,77,62,93,242,19,11,137,102,9,15,3,2,13,5,0,29
37,TIMIŞ,"SCOALA GIMNAZIALA DENTA",375,DENTA,156669,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:01:42",993,976,2,8,7,535,520,0,8,7,471,64,1000,465,30,68,20,127,17,3,105,10,42,30,5,3,1,6,1,3
37,TIMIŞ,"SCOALA GIMNAZIALA DENTA",376,DENTA,156669,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:33",979,957,0,12,10,501,479,0,12,10,434,67,1000,499,16,95,19,122,8,6,91,15,23,20,1,2,6,2,2,6
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DETA",253,"ORAŞ DETA",155458,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:59:18",1597,1584,1,7,5,536,524,0,7,5,504,32,1800,1264,18,39,9,229,13,9,77,66,6,14,3,1,4,8,1,7
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DETA",252,"ORAŞ DETA",155458,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:21",1483,1463,5,12,3,549,534,0,12,3,522,27,1600,1051,21,40,8,207,33,8,118,40,6,14,4,1,5,8,1,8
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUDEȘTII NOI",379,"DUDEŞTII NOI",159384,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:12:36",1515,1475,0,37,3,762,722,0,37,3,703,59,1598,836,64,25,43,313,3,74,56,90,11,6,1,0,2,2,0,13
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUDEȘTII NOI",380,"DUDEŞTII NOI",159384,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:35:55",1515,1478,1,31,5,815,779,0,31,5,774,41,1600,785,75,23,52,353,7,79,49,88,26,4,0,0,3,8,0,7
37,TIMIŞ,"SCOALA GIMNAZIALA DUMBRAVITA",387,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:56:51",1971,1716,202,47,6,975,913,9,47,6,963,12,1800,825,52,24,16,229,49,5,102,435,3,7,1,2,5,17,1,15
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",389,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:03",1779,1745,0,29,5,829,795,0,29,5,819,10,1900,1071,62,26,13,188,73,5,87,315,4,5,2,5,1,11,1,21
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",388,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:08:47",1945,1905,0,32,8,941,901,0,32,8,921,20,2000,1059,43,29,13,214,78,4,107,377,1,12,1,1,5,11,0,25
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”EFTIMIE MURGU”",224,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:56",1103,1084,3,16,0,450,434,0,16,0,432,18,1300,850,24,12,13,201,23,4,77,51,2,4,2,4,5,4,0,6
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”EFTIMIE MURGU”",225,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:29",1335,1323,0,12,0,509,497,0,12,0,493,16,1600,1091,26,20,20,217,14,5,87,73,6,8,5,4,1,2,0,5
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ FOENI",398,FOENI,157004,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:51:32",997,960,0,13,24,602,565,0,13,24,542,60,1109,507,69,25,5,146,17,7,28,195,11,6,4,2,13,4,4,6
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ GELU",591,VARIAŞ,159213,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:51:58",1227,1198,0,28,1,590,561,0,28,1,553,37,1300,710,284,19,7,130,13,2,36,27,13,3,1,2,4,5,1,6
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GEORGE GÂRDA MĂNĂŞTIUR",462,MĂNĂŞTIUR,157736,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:22:31",1078,970,0,65,43,734,626,0,65,43,675,59,1000,266,49,25,4,246,40,2,236,47,4,5,4,0,7,3,0,3
37,TIMIŞ,"ŞCOALA GIMNAZIALA GHILAD",404,GHILAD,159400,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:36:14",1575,1568,1,6,0,753,747,0,6,0,680,73,1700,947,88,26,54,231,18,8,95,102,13,13,1,2,7,7,1,14
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",406,GHIRODA,155289,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:09:33",2023,1984,19,18,2,984,964,0,18,2,944,40,2100,1116,148,20,27,374,23,7,75,168,5,14,2,2,4,56,0,19
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",407,GHIRODA,155289,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:47:10",1586,1562,6,9,9,803,782,3,9,9,763,40,1700,897,106,19,16,358,16,2,64,110,6,17,5,1,3,29,0,11
37,TIMIŞ,"SCOALA GIMNAZIALA GIARMATA",414,GIARMATA,157246,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:58:56",1787,1752,16,17,2,896,876,1,17,2,850,46,1900,1004,105,24,180,275,8,3,94,108,10,6,3,4,6,5,5,14
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ HITIAŞ",516,RACOVIŢA,158243,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:56:39",728,645,5,52,26,528,450,0,52,26,477,51,700,172,41,30,26,163,6,3,152,21,5,5,10,4,4,5,1,1
37,TIMIŞ,"SCOALA GIMNAZIALA HODONI",532,SATCHINEZ,158528,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:18:48",999,990,1,8,0,485,477,0,8,0,454,31,1000,515,44,6,11,271,3,3,61,28,4,6,3,1,3,5,2,3
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”IOSIF CIOROGARIU” ,CHIȘODA",426,GIROC,155314,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:24:43",1683,1656,11,13,3,799,783,0,13,3,770,29,2000,1201,43,18,21,235,21,7,130,185,3,20,11,0,3,43,1,29
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”IOSIF CIOROGARIU” ,CHIȘODA",427,GIROC,155314,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:36:47",1754,1723,12,19,0,764,745,0,19,0,733,31,1900,1136,38,21,12,218,18,6,127,161,5,17,14,3,6,55,1,31
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ IZVIN",288,"ORAŞ RECAŞ",158314,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 22:42:27",1349,1309,5,21,14,680,645,0,21,14,619,60,1500,820,35,59,18,152,13,9,267,35,5,5,1,2,4,9,1,4
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ JIMBOLIA",277,"ORAŞ JIMBOLIA",155494,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:01:46",1670,1644,4,16,6,659,637,0,16,6,597,62,1800,1141,29,42,4,243,29,5,54,34,12,16,2,2,8,95,4,18
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ JIMBOLIA",278,"ORAŞ JIMBOLIA",155494,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:44:02",1648,1623,2,16,7,704,679,2,16,7,646,58,1800,1096,51,38,6,169,106,3,49,35,12,37,1,2,9,107,3,18
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ LIEBLING",447,LIEBLING,157497,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:38",1313,1283,0,21,9,711,681,0,21,9,660,51,1400,689,21,24,19,321,17,9,65,104,3,7,28,2,27,10,0,3
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ „MARIA BRINDEA”",503,PESAC,159507,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:21:26",953,924,0,13,16,457,428,0,13,16,341,116,999,542,12,14,19,53,9,6,175,26,4,1,0,0,11,2,2,7
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ",470,"MOŞNIŢA NOUĂ",157834,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:03:39",1465,1424,0,40,1,832,791,0,40,1,821,3,1600,776,27,17,41,278,21,17,77,254,2,27,8,2,0,15,1,34
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ",469,"MOŞNIŢA NOUĂ",157834,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:38:36",1339,1333,0,6,0,671,665,0,6,0,646,25,1500,829,19,32,54,192,76,2,86,114,2,16,21,1,2,14,0,15
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ NR.1",231,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:11:30",431,425,0,6,0,173,167,0,6,0,161,12,500,327,5,5,30,84,6,3,5,4,2,1,3,3,7,0,0,3
