precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL FORTA NATIONALA-voturi","PARTIDUL VERDE-voturi","FANCSALI ERNŐ-voturi"
13,CLUJ,"ŞCOALA PRIMARǍ POIANA HOREA",341,BELIŞ,56014,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:18",301,284,0,13,4,242,225,0,13,4,222,20,311,69,98,11,0,65,5,11,24,0,3,0,2,0,0,1,2
13,CLUJ,"ŞCOALA PRIMARĂ SĂCEL",331,BĂIŞOARA,55918,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:57:34",346,340,0,3,3,235,229,0,3,3,215,20,369,134,39,20,2,79,5,1,12,2,0,47,3,1,1,3,0
13,CLUJ,"ŞCOALA PRIMARĂ SMIDA",339,BELIŞ,56014,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:26:15",56,45,0,11,0,39,28,0,11,0,38,1,50,11,17,1,0,10,2,3,4,0,0,0,0,1,0,0,0
13,CLUJ,"SCOALA PRIMARA STRAMBU",405,CHIUIEŞTI,57083,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:16:41",336,328,0,5,3,209,201,0,5,3,190,19,369,160,46,11,2,111,5,5,6,0,3,0,0,1,0,0,0
13,CLUJ,"ȘCOALA PRIMARĂ URCA CORP I",659,VIIŞOARA,60062,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:07:47",779,775,0,3,1,323,319,0,3,1,294,29,855,532,142,10,2,89,6,4,1,0,3,0,1,3,2,31,0
13,CLUJ,"ŞCOALA PRIMARĂ URIŞOR",387,CĂŞEIU,56666,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:42:22",801,791,1,1,8,446,437,0,1,8,422,24,891,445,139,43,0,139,72,8,11,3,3,1,0,1,0,2,0
13,CLUJ,"SCOALA PRIMARA VISTEA",470,GÂRBĂU,57948,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:07:03",619,587,1,16,15,488,457,0,16,15,480,7,646,158,17,4,354,89,5,0,5,0,0,0,0,1,0,0,5
13,CLUJ,"ŞCOALA PROFESIONALĂ POIANA",281,"MUNICIPIUL TURDA",55259,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:55:33",1295,1287,2,6,0,499,493,0,6,0,476,23,1420,921,76,42,45,188,13,16,54,2,7,2,16,6,7,2,0
13,CLUJ,"ŞCOALA PROFESIONALĂ POIANA",282,"MUNICIPIUL TURDA",55259,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:57:44",1476,1468,2,6,0,754,748,0,6,0,702,52,1620,866,68,45,23,457,16,22,23,1,6,0,27,4,9,1,0
13,CLUJ,"ŞCOALA SĂLĂTRUC",386,CĂŞEIU,56666,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:02:42",124,118,0,6,0,84,78,0,6,0,74,9,132,48,26,2,0,28,11,0,4,1,1,0,0,0,0,1,0
13,CLUJ,"ȘCOALA SĂLIȘTEA NOUĂ",328,BACIU,55838,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:52:28",154,143,0,11,0,96,85,0,11,0,90,6,157,61,4,4,6,61,5,1,7,0,0,0,1,1,0,0,0
13,CLUJ,"ŞCOALA SIMION BALINT",600,SĂNDULEŞTI,55311,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:27",1191,1153,3,19,16,640,605,0,19,16,599,41,1269,629,49,49,3,384,20,12,28,3,17,2,2,2,0,28,0
13,CLUJ,"SCOALA SOIMENI",665,VULTURENI,60099,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:33",274,251,1,14,8,188,165,1,14,8,175,13,285,97,33,24,0,87,15,1,3,0,5,0,4,3,0,0,0
