precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","MILITARU IONEL-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII RUNCU",357,RUNCU,172812,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:36",500,435,0,63,2,348,283,0,63,2,302,35,570,233,25,90,66,6,20,2,9,0,5,1,65,5,8
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ DUMITRU BĂDESCU",118,"ORAŞ BĂILE OLĂNEŞTI",167696,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:10:49",1361,1335,2,10,14,734,710,0,10,14,695,39,1480,746,13,386,85,12,12,1,49,9,3,6,101,13,5
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ FĂUREŞTI",218,FĂUREŞTI,169583,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:47:50",696,639,0,45,12,496,439,0,45,12,467,29,740,244,3,106,287,5,39,1,17,1,1,3,2,0,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ GORANU",46,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:15",1060,1048,2,10,0,353,343,0,10,0,338,15,1160,807,10,111,110,16,4,1,29,4,5,4,37,3,4
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ GORANU",45,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:36",1405,1398,0,7,0,427,420,0,7,0,403,24,1580,1153,9,113,147,12,10,10,41,4,12,3,38,2,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ GUŞOENI",254,GUŞOENI,170444,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:03:00",807,740,0,20,47,513,446,0,20,47,477,34,840,329,16,318,121,7,2,1,7,1,1,3,0,0,0
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",22,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:36:43",1003,993,0,10,0,354,344,0,10,0,342,12,1110,756,14,99,115,9,9,2,41,6,3,4,31,8,1
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",21,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:04:29",963,955,2,6,0,347,341,0,6,0,333,14,1070,723,4,102,82,6,5,3,62,3,5,2,42,8,9
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",27,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:42",852,842,0,10,0,309,299,0,10,0,305,4,970,661,13,103,81,7,5,2,39,3,3,5,36,1,7
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",26,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:02:21",1089,1078,2,9,0,334,325,0,9,0,325,9,1200,866,8,103,109,8,8,1,36,2,5,2,30,6,7
