precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
5,BIHOR,"PRIMĂRIA COMUNEI DIOSIG",368,DIOSIG,29092,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:01:16",1049,1019,0,21,9,485,455,0,21,9,461,24,1091,606,63,337,0,2,22,3,1,27,6
5,BIHOR,"PRIMĂRIA CURTUIŞENI",361,CURTUIŞENI,29001,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:42:50",1271,1267,0,4,0,710,706,0,4,0,641,69,1401,691,169,357,0,1,85,0,1,27,1
5,BIHOR,"PRIMĂRIA DERNA",363,DERNA,29038,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:28:32",738,712,1,19,6,404,378,1,19,6,373,31,805,401,185,12,24,2,132,9,4,4,1
5,BIHOR,"PRIMARIA DRAGANESTI",381,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:52",404,372,2,20,10,309,279,0,20,10,297,12,399,90,206,2,1,5,74,0,1,2,6
5,BIHOR,"PRIMĂRIA DRĂGEŞTI",391,DRĂGEŞTI,29341,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:26",372,266,0,95,11,324,218,0,95,11,294,30,362,38,188,1,0,4,41,4,54,0,2
5,BIHOR,"PRIMĂRIA FINIŞ",396,FINIŞ,29403,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:36:23",1399,1357,0,7,35,1024,982,0,7,35,959,65,1495,471,279,308,1,7,319,12,22,5,6
5,BIHOR,"PRIMĂRIA MĂGEŞTI",451,MĂGEŞTI,30069,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:11",234,218,0,13,3,160,144,0,13,3,152,8,241,81,102,8,1,3,24,6,6,1,1
5,BIHOR,"PRIMĂRIA MUNICIPIULUI BEIUŞ",146,"MUNICIPIUL BEIUŞ",26804,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:45:41",1391,1357,3,25,6,784,752,1,25,6,761,23,1491,707,536,22,1,17,118,13,9,0,45
5,BIHOR,"PRIMARIA TARCAIA",610,TĂRCAIA,31609,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:52:02",939,868,3,20,48,731,662,1,20,48,698,29,1007,276,76,456,3,3,77,2,0,78,3
5,BIHOR,"SALA SPORT ȘCOALA",238,"AVRAM IANCU",27285,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:46:46",1549,1519,2,19,9,1046,1018,0,19,9,1032,14,1705,659,610,8,0,48,269,14,58,3,22
