precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
21,HARGHITA,"PRIMĂRIA MEREŞTI",190,MEREŞTI,85056,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:41:43",1090,1049,2,1,38,464,425,0,1,38,420,44,1187,723,18,31,297,1,2,9,60,2
21,HARGHITA,"PRIMĂRIA SÎNDOMINIC",238,SÂNDOMINIC,85760,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:13:37",1507,1505,1,0,1,507,506,0,0,1,472,35,1600,1093,4,20,403,2,0,2,41,0
21,HARGHITA,"PRIMĂRIA SÎNDOMINIC",237,SÂNDOMINIC,85760,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:45:57",1525,1517,5,2,1,528,525,0,2,1,498,30,1700,1172,9,13,422,0,1,9,44,0
21,HARGHITA,"PRIMARIA SÎNMARTIN",242,SÂNMARTIN,85788,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:01:34",873,870,0,1,2,313,310,0,1,2,285,28,990,677,0,10,228,0,3,27,16,1
21,HARGHITA,"PRIMARIA SÎNMARTIN",241,SÂNMARTIN,85788,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:29:29",952,943,2,5,2,349,342,0,5,2,322,27,1000,651,2,4,256,1,1,44,14,0
21,HARGHITA,"PRIMĂRIA ZETEA",287,ZETEA,86366,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:13:25",1278,1273,2,3,0,328,325,0,3,0,303,25,1400,1072,6,6,267,0,2,12,7,3
21,HARGHITA,"SALA DE MANIFESTATII",213,PORUMBENI,86487,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:55:57",396,391,0,2,3,196,191,0,2,3,190,6,482,286,5,8,162,0,0,1,13,1
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”JÓZSEF ATTILA” MIERCUREA-CIUC",15,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:56:46",1650,1643,6,1,0,473,472,0,1,0,462,11,1800,1327,35,34,312,6,3,17,45,10
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZILAE ”JÓZSEF ATTILA” MIERCUREA-CIUC",16,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:24",1566,1537,3,9,17,466,440,0,9,17,461,5,1700,1234,50,30,277,7,9,26,49,13
21,HARGHITA,"SC.GIM. ARANY JANOS",191,MIHĂILENI,85074,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:49:26",814,797,0,7,10,462,446,0,6,10,392,70,900,438,15,13,225,1,9,19,106,4
