precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
33,SĂLAJ,"ȘCOALA PRIMARĂ SÎRBI",268,SÂG,142612,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:07:36",218,210,0,8,0,119,111,0,8,0,108,11,235,116,47,43,2,4,3,2,0,0,4,3
33,SĂLAJ,"ŞCOALA PRIMARĂ STÎNA",39,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:33",250,237,0,12,1,118,105,0,12,1,109,9,264,146,49,35,2,4,4,2,0,7,5,1
33,SĂLAJ,"ŞCOALA PRIMARĂ TETIŞU",152,"FILDU DE JOS",141081,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:44",238,226,0,12,0,159,147,0,12,0,151,8,249,90,27,11,0,1,1,107,2,2,0,0
33,SĂLAJ,"ŞCOALA PRIMARĂ VĂLENI",130,CRISTOLŢ,140770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:49:28",338,322,0,8,8,232,216,0,8,8,220,12,343,111,129,66,1,4,18,1,0,0,0,1
33,SĂLAJ,"ŞCOALA PURCĂREŢ",208,LETCA,141786,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:41:59",90,78,0,11,1,67,55,0,11,1,57,10,85,18,20,15,1,0,17,1,0,3,0,0
33,SĂLAJ,"ŞCOALA ŞOIMUŞENI",209,LETCA,141786,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:21:31",67,51,0,15,1,59,43,0,15,1,48,11,75,16,39,7,0,1,0,1,0,0,0,0
33,SĂLAJ,"ŞCOALA SOMEŞ GURUSLĂU",236,NĂPRADEA,142177,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:11",354,344,0,4,6,212,202,0,4,6,197,15,387,175,47,108,4,6,8,2,0,3,5,14
33,SĂLAJ,"ŞCOALA TOPLIŢA",210,LETCA,141786,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:34:07",114,89,0,24,1,97,72,0,24,1,95,2,100,3,65,19,0,1,1,2,0,3,4,0
33,SĂLAJ,"ŞCOALA TRANIŞ",237,NĂPRADEA,142177,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:31:51",280,269,1,3,7,156,146,0,3,7,143,13,307,151,36,95,2,1,3,1,0,0,2,3
33,SĂLAJ,"ŞCOALA VĂDURELE",238,NĂPRADEA,142177,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:05:44",166,151,0,3,12,136,121,0,3,12,132,4,182,46,38,68,14,0,4,1,1,0,2,4
33,SĂLAJ,"ŞCOALA VĂLIŞOARA",211,LETCA,141786,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:18:23",31,21,0,10,0,20,10,0,10,0,17,3,31,11,7,4,2,1,1,0,0,2,0,0
33,SĂLAJ,"ȘCOALA VECHE",169,HALMĂŞD,141312,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:56",448,436,0,4,8,262,250,0,4,8,244,18,496,234,104,111,8,3,1,7,0,1,6,3
33,SĂLAJ,"ŞCOALA VECHE CIOCMANI",74,BĂBENI,140084,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:30:18",563,433,0,106,24,451,321,0,106,24,432,19,500,49,181,186,7,4,15,5,1,5,23,5
33,SĂLAJ,"ȘCOALA ZALNOC",91,BOBOTA,140280,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:59",401,378,0,14,9,211,188,0,14,9,199,12,416,205,80,101,2,4,3,4,0,1,3,1
33,SĂLAJ,"SEDIUL CONSILIU LOCAL SÎNMIHAIU ALMAŞULUI",270,"SÂNMIHAIU ALMAŞULUI",142676,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:29:44",872,816,1,35,20,542,487,0,35,20,455,87,944,402,223,100,38,7,21,5,3,11,5,42
33,SĂLAJ,"STADIONUL MUNICIPAL SEDIUL CLUBULUI SPORTIV MUNICIPAL",5,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:57",1248,1222,6,10,10,489,469,0,10,10,484,5,1350,861,165,118,11,13,9,66,4,19,75,4
