precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR PLUS-voturi","PRO CARAȘ-SEVERIN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”NICOLAE STOICA DE HATEG”",281,MEHADIA,53274,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:09:26",872,834,4,28,6,431,397,0,28,6,402,29,921,490,58,199,18,113,7,0,7
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”NICOLAE STOICA DE HATEG”",280,MEHADIA,53274,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:55",1239,1175,1,35,28,723,662,0,35,26,665,58,1296,573,69,312,26,217,12,9,20
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”SF. DIMITRIE” TEREGOVA",338,TEREGOVA,54270,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:33:21",1176,1097,0,33,46,773,694,0,33,46,722,51,1210,437,64,229,11,352,10,21,35
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”DIACONOVICI TIETZ” - ȘCOALA CU CLS I-IV",68,"MUNICIPIUL REŞIŢA",50790,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:04:25",407,395,0,12,0,106,94,0,12,0,99,7,435,329,3,69,1,10,3,8,5
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”EFTIMIE MURGU” BOZOVICI",181,BOZOVICI,51573,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:28:29",716,668,1,26,21,390,342,1,26,21,358,32,737,347,30,110,14,196,2,2,4
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”GENERAL DRAGALINA”",133,"ORAŞ ORAVIŢA",51118,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:47:14",837,819,0,17,1,381,363,0,17,1,346,35,903,522,77,130,31,73,17,12,6
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",113,"ORAŞ BOCŞA",50969,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:36:18",855,838,0,12,5,340,323,0,12,5,300,40,920,580,66,117,16,53,6,29,13
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",112,"ORAŞ BOCŞA",50969,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:12:42",1080,1069,0,8,3,434,423,0,8,3,409,25,1176,742,71,193,28,73,6,25,13
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",111,"ORAŞ BOCŞA",50969,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:02:00",1241,1228,0,6,7,485,472,0,6,7,437,48,1360,875,64,235,11,74,12,24,17
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",37,"MUNICIPIUL REŞIŢA",50790,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:49:01",867,858,0,9,0,150,141,0,9,0,142,8,982,832,6,88,6,17,9,9,7
