precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL CIVIC MAGHIAR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
32,"SATU MARE","GRĂDINIŢA CU PROG. PRELUNGIT ” DUMBRAVA MINUNATĂ ” (GRĂDINIŢA ”DUMBRAVA MINUNATĂ” )",65,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 20:17:18",1307,1274,21,12,0,556,542,2,12,0,535,21,1405,849,3,5,58,62,28,43,10,312,14
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL",309,TIREAM,139107,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:42:03",157,142,0,15,0,110,95,0,15,0,91,19,185,75,18,1,2,8,22,18,1,10,11
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",248,"ORAŞU NOU",138351,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:27",488,472,1,9,6,223,207,1,9,6,201,22,550,327,0,0,70,44,24,12,4,23,24
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",247,"ORAŞU NOU",138351,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:43",331,324,1,5,1,147,141,0,5,1,134,13,350,203,0,0,8,26,4,22,3,32,39
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",297,SUPUR,138921,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:39:50",161,153,0,8,0,96,88,0,8,0,86,10,200,104,0,0,1,60,2,10,4,4,5
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL BLAJA",115,"ORAŞ TĂŞNAD",136642,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:54",169,156,0,12,1,118,105,0,12,1,111,7,210,92,1,5,1,35,5,20,26,9,9
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL CIG",116,"ORAŞ TĂŞNAD",136642,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:39",359,341,0,12,6,193,175,0,12,6,164,29,410,217,2,3,5,48,5,15,66,7,13
32,"SATU MARE","GRĂDINIȚA CU PROGRAM NORMAL HRIP",255,PĂULEŞTI,138431,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:34:59",582,563,0,19,0,305,286,0,19,0,269,36,613,308,1,0,2,127,1,40,3,90,5
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL IANCULEŞTI",88,"MUNICIPIUL CAREI",136526,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 18:26:57",298,282,0,13,3,120,104,0,13,3,110,10,311,191,0,3,5,27,7,52,2,11,3
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL LIVADA",95,"ORAŞ LIVADA",138039,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:55:17",1423,1402,1,9,11,613,593,0,9,11,561,52,1500,887,2,0,5,78,7,33,13,399,24
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL MOIŞENI",177,CERTEZE,137407,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:09:47",1172,1155,0,10,7,457,444,0,10,3,355,102,1200,743,1,1,10,155,6,71,14,4,93
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.10",81,"MUNICIPIUL CAREI",136526,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 19:16:21",1849,1831,3,14,1,565,550,0,14,1,543,22,2015,1450,2,6,31,76,23,54,8,321,22
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",16,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:21:47",1325,1317,3,5,0,406,401,0,5,0,399,7,1500,1094,5,4,75,76,22,47,12,140,18
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",17,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:22",1756,1743,3,8,2,590,580,0,8,2,568,22,1900,1310,5,3,72,160,32,72,39,161,24
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.5",84,"MUNICIPIUL CAREI",136526,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 19:07:52",1919,1865,5,14,35,634,585,1,14,34,600,34,2087,1453,6,3,19,74,23,61,9,367,38
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.8",85,"MUNICIPIUL CAREI",136526,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 19:04:47",1270,1251,3,14,2,489,473,0,14,2,469,20,1377,888,3,0,15,60,25,44,10,294,18
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.9",80,"MUNICIPIUL CAREI",136526,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 19:18:30",1168,1155,0,12,1,427,414,0,12,1,419,8,1304,877,1,7,25,45,18,39,12,260,12
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL SUSANI",315,TURŢ,139170,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:25",922,908,0,11,3,340,326,0,11,3,309,31,946,606,0,1,27,201,28,27,8,6,11
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL VALEA MORII",118,"ORAŞ TĂŞNAD",136642,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:40",153,144,0,7,2,93,84,0,7,2,87,6,170,77,1,4,1,46,0,5,16,4,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT",72,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:22",1066,1058,1,5,2,349,342,0,5,2,336,13,1200,851,1,5,36,71,14,46,9,131,23
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT",74,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:44:29",1102,1089,4,9,0,381,372,0,9,0,374,7,1200,819,1,4,41,64,24,39,14,156,31
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT",73,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:14:45",1231,1209,11,6,5,404,392,1,6,5,392,12,1400,996,0,6,51,87,15,52,17,143,21
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT – ” 14 MAI ”",57,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:18:00",1079,1068,0,9,2,370,359,0,9,2,368,2,1200,830,2,4,34,47,8,32,13,211,17
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT – ” 14 MAI ”",56,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:52:03",1573,1565,1,6,1,501,493,1,6,1,483,18,1800,1299,8,1,55,69,27,56,17,239,11
32,"SATU MARE","GRADINITA CU PROGRAM PRELUNGIT ”DRAGA MEA” (GRADINITA ”DRAGA MEA”(",1,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:56",1739,1729,2,7,1,500,492,0,7,1,447,53,1904,1404,3,2,42,89,21,42,22,193,33
32,"SATU MARE","GRADINITA CU PROGRAM PRELUNGIT ”DRAGA MEA” (GRADINITA ”DRAGA MEA”(",2,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:07",1642,1633,0,9,0,566,557,0,9,0,549,17,1816,1250,2,5,93,134,27,58,12,202,16
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",55,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:36:16",1350,1290,0,29,31,416,378,0,10,28,400,16,1500,1084,5,2,26,44,13,24,21,236,29
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR.13",32,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:20:44",1268,1254,2,12,0,472,460,0,12,0,465,7,1400,928,8,1,47,63,23,59,11,236,17
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 5",34,"MUNICIPIUL SATU MARE",136483,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 18:38:49",1347,1334,0,10,3,508,495,0,10,3,489,6,1500,1005,4,4,43,77,19,48,14,263,17
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 5",33,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:22:58",1134,1120,1,8,5,408,395,0,8,5,400,8,1306,898,5,0,34,84,14,48,5,197,13
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",27,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:45",1285,1273,0,7,5,410,398,0,7,5,391,19,1400,990,1,2,51,51,19,50,12,192,13
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",28,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:41",1357,1340,2,9,6,378,363,0,9,6,367,11,1500,1122,4,3,32,67,13,35,19,182,12
32,"SATU MARE","GRĂDINIŢA DABOLŢ",207,HALMEU,137764,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:49:03",369,355,2,6,6,164,152,0,6,6,144,20,400,236,0,0,3,12,23,3,16,86,1
32,"SATU MARE","GRADINITA DE COPII",239,MOFTIN,138208,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:29:47",449,435,4,10,0,213,203,0,10,0,152,61,500,287,0,0,1,49,8,71,3,13,7
