precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-voturi","PARTIDUL VERDE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL RE:START ROMÂNIA-voturi","ALIANȚA USR PLUS-voturi"
24,IAŞI,"CĂMIN CULTURAL - SALA I OTELENI",568,OŢELENI,98300,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:30:11",1005,967,0,6,32,560,523,0,6,31,487,73,1100,540,10,201,3,205,28,7,0,1,5,8,2,17
24,IAŞI,"CĂMINUL CULTURAL",445,FOCURI,97063,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:53:03",1509,1503,0,6,0,741,735,0,6,0,661,80,1600,859,7,286,3,297,23,11,0,0,1,11,2,20
24,IAŞI,"CĂMINUL CULTURAL BOROSEŞTI",623,SCÂNTEIA,98916,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:59",727,714,0,9,4,346,333,0,9,4,303,43,800,454,6,207,3,58,14,1,1,1,0,3,0,9
24,IAŞI,"CĂMINUL CULTURAL BOURENI",563,MOŢCA,98220,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:30:27",1176,1160,0,7,9,547,531,0,7,9,501,46,1300,753,38,72,8,358,5,8,0,0,2,6,1,3
24,IAŞI,"CĂMINUL CULTURAL CIOHORĂNI",359,CIOHORĂNI,100362,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:55",1518,1507,1,4,6,742,732,0,4,6,615,127,1600,858,97,122,2,320,47,1,0,0,5,13,3,5
24,IAŞI,"CĂMINUL CULTURAL DRĂGUŞENI",431,DRĂGUŞENI,100308,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:53",758,742,0,1,15,382,366,0,1,15,305,77,800,418,6,49,1,167,30,5,1,2,32,7,1,4
24,IAŞI,"CAMINUL CULTURAL MADIRJAC",524,MĂDÂRJAC,97777,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:21",1176,1123,0,14,39,824,771,0,14,39,724,100,1300,476,44,124,7,242,253,9,1,0,26,4,4,10
24,IAŞI,"CĂMINUL CULTURAL SCÂNTEIA",628,SCÂNTEIA,98916,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:10:14",1855,1843,0,12,0,132,120,0,12,0,125,7,2000,1868,4,49,4,19,9,2,0,0,3,2,0,33
24,IAŞI,"CAMINUL CULTURAL VINATORI",734,VÂNĂTORI,100086,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:48:54",967,919,0,34,14,568,520,0,34,14,475,93,1000,432,27,115,4,280,18,8,0,1,1,6,3,12
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",308,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:20:12",1528,1523,0,5,0,573,568,0,5,0,539,34,1700,1127,18,208,24,195,29,9,0,3,9,6,3,35
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",309,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:52:15",1943,1931,2,9,1,755,745,0,9,1,676,79,2100,1345,16,212,27,302,40,11,0,2,10,11,2,43
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",256,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:37:02",1213,1204,1,7,1,405,397,0,7,1,390,15,1300,895,36,186,6,92,13,5,1,4,8,5,0,34
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",257,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:59",1341,1331,0,10,0,472,462,0,10,0,462,10,1500,1028,67,187,11,105,26,5,0,2,11,3,4,41
24,IAŞI,"CASA DE PRAZNUIRE",483,HELEŞTENI,97465,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:18",166,159,0,6,1,96,89,0,6,1,74,22,200,104,4,26,1,21,16,0,0,0,3,0,1,2
24,IAŞI,"CASA DE PRAZNUIRE BAHLUI",395,COTNARI,96478,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:41",268,264,0,4,0,142,138,0,4,0,127,15,300,158,2,41,1,21,4,2,0,0,0,1,0,55
24,IAŞI,"CASA PAROHIALA SAT COADA STANCII",723,UNGHENI,96003,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:51:00",556,551,0,5,0,257,252,0,5,0,228,29,600,343,3,114,1,63,10,6,0,0,2,4,2,23
24,IAŞI,"CASA SOCIALA ION NECULCE",504,"ION NECULCE",95499,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:17:36",165,154,0,11,0,97,86,0,11,0,82,15,200,103,4,18,3,48,6,0,0,0,3,0,0,0
24,IAŞI,"CENTRU DE ORGANIZARE PENTRU INTEGRARE SI INFORMARE - C.O.P.I.I. PENTRU COMUNITATEA POIENILE",417,DAGÂŢA,96717,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:19",236,229,0,7,0,140,133,0,7,0,130,10,300,160,1,111,0,12,3,0,1,0,0,2,0,0
24,IAŞI,"CENTRU DE ZI AFTER SCHOOL RUSI",427,DOBROVĂŢ,96888,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:49:47",809,783,1,9,16,410,385,0,9,16,352,58,900,490,8,238,11,25,38,4,1,0,19,1,2,5
24,IAŞI,"CENTRU DE ZI BĂLȚAȚI",325,BĂLŢAŢI,95792,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 18:38:31",1695,1617,0,14,64,951,873,0,14,64,852,99,1700,745,42,356,8,361,38,9,0,1,5,10,1,21
24,IAŞI,"CENTRUL CULTURAL ”ALEXANDRU VASILIU-TATARUSI”",674,TĂTĂRUŞI,99478,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:19:23",1425,1383,0,6,36,732,691,0,6,35,616,116,1500,768,24,99,0,460,5,11,0,0,1,7,2,7
24,IAŞI,"CENTRUL DE CARTIER FRUMOASA",197,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:53",1252,1241,1,10,0,403,393,0,10,0,392,11,1400,997,8,123,9,50,20,9,1,5,26,3,4,134
24,IAŞI,"CENTRUL EDUCATIV PENTRU COPII SARACI HARMANEASA",481,HELEŞTENI,97465,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:56:34",590,579,1,6,4,344,334,0,6,4,290,54,600,256,0,110,6,107,32,5,1,0,20,6,0,3
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",255,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:40:15",818,806,0,12,0,243,231,0,12,0,236,5,900,657,8,68,1,34,17,7,0,9,10,0,0,82
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",254,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:18",690,674,1,15,0,247,232,0,15,0,241,6,700,353,9,87,5,11,7,11,0,8,12,0,3,88
24,IAŞI,"CLADIREA FOSTEI SCOLI PRIMARE BANU",437,DUMEŞTI,96940,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:54:36",334,326,0,8,0,186,178,0,8,0,168,18,400,214,14,82,8,26,10,12,0,1,4,3,3,5
24,IAŞI,"CLĂDIRE SOCIALĂ BĂRBĂTEȘTI",411,CUCUTENI,96664,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:56",156,147,0,5,4,114,105,0,5,4,94,20,200,86,2,10,6,51,17,3,0,0,0,3,1,1
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",47,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:59",940,927,8,5,0,292,287,0,5,0,283,9,1000,708,9,107,3,41,17,7,3,5,9,1,5,76
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",48,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:08:19",932,899,18,14,1,329,314,0,14,1,325,4,1000,671,12,108,8,58,19,2,4,7,5,3,4,95
24,IAŞI,"COLEGIUL NAŢIONAL",27,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:10:04",1401,1380,10,9,2,303,291,1,9,2,293,10,1500,1197,8,86,2,48,17,3,0,3,21,3,7,95
24,IAŞI,"COLEGIUL NAŢIONAL",28,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:23:56",1408,1394,0,14,0,488,474,0,14,0,476,11,1607,1120,11,137,12,66,33,15,2,6,23,1,9,161
24,IAŞI,"COLEGIUL NAŢIONAL",24,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:58:17",1313,1298,8,7,0,396,389,0,7,0,388,8,1500,1104,7,115,8,50,24,6,1,12,16,5,3,141
24,IAŞI,"COLEGIUL NAŢIONAL",25,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:02",1016,977,27,12,0,297,285,0,12,0,292,5,1100,803,10,89,12,50,7,4,1,3,15,3,2,96
24,IAŞI,"COLEGIUL NAŢIONAL",26,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:40",920,842,65,13,0,250,237,0,13,0,242,8,900,650,8,78,2,43,24,3,2,3,8,1,3,67
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",31,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:41",968,938,8,14,8,332,310,0,14,8,323,9,1100,768,6,95,8,27,20,4,1,9,13,5,8,127
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",32,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:25",899,879,8,12,0,359,347,0,12,0,350,9,998,639,4,111,8,46,17,4,0,6,7,2,12,133
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",53,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:56",677,646,15,16,0,233,217,0,16,0,230,3,700,467,8,70,2,33,24,9,0,6,9,0,4,65
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",52,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:21",789,740,37,12,0,231,219,0,12,0,223,6,800,571,4,82,3,33,13,8,0,6,12,2,6,54
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",54,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:39:29",699,671,14,8,6,255,241,0,8,6,240,15,800,545,5,72,7,50,15,4,0,7,8,1,1,70
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTAV BĂNCILĂ”",55,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:40:38",775,746,20,9,0,260,251,0,9,0,249,11,800,540,8,93,3,41,9,6,0,5,12,5,4,63
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",230,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:16",1667,1653,0,14,0,317,303,0,14,0,309,8,1800,1483,8,95,5,54,7,7,4,12,8,0,8,101
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",224,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:24:24",1318,1308,2,8,0,87,79,0,8,0,82,5,1308,1221,3,21,4,10,12,1,0,5,3,3,2,18
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",229,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:51:12",1513,1506,0,7,0,392,385,0,7,0,371,21,1700,1308,14,117,1,78,17,5,0,4,13,4,8,110
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",228,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:51",1452,1441,1,10,0,250,240,0,10,0,240,10,1600,1350,5,72,7,41,15,7,1,5,24,2,2,59
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",225,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:43:44",1309,1297,1,11,0,147,136,0,11,0,144,3,1400,1253,4,54,1,13,1,0,0,5,8,4,2,52
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",227,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:03:40",1178,1168,3,7,0,92,85,0,7,0,88,4,1300,1208,4,28,0,17,4,2,0,2,10,1,0,20
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",226,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:47:34",1217,1207,1,9,0,119,110,0,9,0,112,7,1300,1181,5,37,4,12,6,6,0,0,7,2,2,31
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",34,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:14",1214,1143,5,7,59,476,417,0,7,52,468,8,1300,824,22,167,15,82,25,5,1,7,14,1,4,125
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",36,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:51:37",1774,1768,0,6,0,80,74,0,6,0,73,7,2000,1920,2,21,1,10,9,6,0,0,4,0,1,19
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",33,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:45:53",1183,1083,28,10,62,398,326,0,10,62,382,16,1200,802,21,100,13,85,12,7,0,9,18,1,8,108
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",35,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:44:23",1292,1106,14,9,163,464,304,0,9,151,450,14,1200,736,33,145,14,97,23,6,0,7,15,7,0,103
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",41,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:31",1019,933,33,12,41,372,338,0,12,22,363,9,1000,628,11,140,12,42,15,11,2,7,15,1,1,106
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",40,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:23:15",1052,1008,26,14,4,376,358,0,14,4,366,10,1100,724,5,116,11,32,23,8,2,10,8,5,8,138
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",263,"MUNICIPIUL PAŞCANI",95391,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:45:22",408,400,0,7,1,408,400,0,7,1,384,24,1400,992,40,153,9,104,18,9,1,1,13,7,0,29
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",264,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:24:21",1402,1394,1,7,0,490,483,0,7,0,477,10,1500,1010,41,195,14,137,22,6,0,1,9,0,3,49
