precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANTA ELECTORALA PSD+ALDE DOLJ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”DECEBAL” (FOSTA NR. 12)",110,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:26:37",1486,1469,1,16,0,553,537,0,16,0,536,17,1600,1047,24,12,141,162,59,4,2,122,4,3,3
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”DECEBAL” (FOSTA NR. 12)",108,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:40:57",1448,1429,6,13,0,500,487,0,13,0,475,25,1500,1000,31,18,135,161,42,4,7,68,3,3,3
17,DOLJ,"ŞCOALA GIMNAZIALĂ DESA",329,DESA,72034,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:07:17",1365,1340,1,5,19,800,776,0,5,19,724,76,1500,700,22,25,258,365,1,0,1,15,27,8,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ DESA -CORPUL 1",328,DESA,72034,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:01:39",1369,1346,0,1,22,839,816,0,1,22,771,68,1500,661,21,21,288,379,6,0,11,17,23,2,3
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ELENA FARAGO” (FOSTA SCOALA GIMNAZIALA NR.33)",81,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:10:11",1618,1607,0,11,0,554,543,0,11,0,528,26,1800,1246,22,20,121,183,74,7,4,74,8,11,4
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ELENA FARAGO” (FOSTA SCOALA GIMNAZIALA NR.33)",79,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:58",1759,1747,1,11,0,558,547,0,11,0,539,19,2000,1442,31,14,131,192,69,6,7,73,5,6,5
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ELENA FARAGO” (FOSTA SCOALA GIMNAZIALA NR.33)",80,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:34:08",1697,1690,0,7,0,537,530,0,7,0,509,28,1900,1363,25,20,125,158,76,7,10,75,4,9,0
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ELENA FARAGO” (FOSTA SCOALA GIMNAZIALA NR.34)",75,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:40:47",1479,1472,0,7,0,535,528,0,7,0,521,14,1700,1165,23,24,128,189,69,10,3,65,6,2,2
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ELENA FARAGO” (FOSTA SCOALA GIMNAZIALA NR.34)",78,"MUNICIPIUL CRAIOVA",69900,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:08:46",1653,1639,2,12,0,586,574,0,12,0,570,16,2000,1414,32,20,133,211,69,5,1,89,3,2,5
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ELENA FARAGO” (FOSTA SCOALA GIMNAZIALA NR.34)",77,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:09:36",1514,1499,0,15,0,497,482,0,15,0,486,11,1700,1203,26,23,130,128,83,10,4,62,7,6,7
