precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","""ALIANȚA PNL-USR CĂLĂRAȘI""-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA FLORENTA ALBU VILCELELE",232,VÂLCELELE,94731,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:47",913,846,0,10,57,536,469,0,10,57,499,37,990,454,18,409,22,0,12,7,2,0,29
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA GHEORGHE MANU",66,"ORAŞ BUDEŞTI",101458,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:30:17",1867,1850,0,17,0,1090,1073,0,17,0,888,202,2035,945,155,303,103,4,26,13,23,6,255
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA GHEORGHE MANU",67,"ORAŞ BUDEŞTI",101458,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:52:24",1952,1933,0,19,0,1148,1129,0,19,0,1021,127,2123,975,204,357,159,5,23,20,20,0,233
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA GRIGORE MOISIL",218,ULMENI,105605,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:27:43",1267,1245,0,14,8,774,752,0,14,8,700,74,1394,620,52,238,353,19,19,5,11,0,3
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA IANCU ROSETTI-CENTRU",198,ROSEŢI,94312,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:49:04",1265,1249,2,6,8,743,729,0,6,8,674,69,1489,746,41,437,161,1,23,6,1,1,3
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",17,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:29:42",1199,1186,0,12,1,427,414,0,12,1,409,18,1304,877,31,180,122,4,34,10,6,15,7
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",18,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:28:09",1398,1363,4,13,18,535,507,1,13,14,507,26,1521,986,28,214,190,2,37,10,8,12,6
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",19,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:15:38",734,719,1,14,0,277,263,0,14,0,266,11,791,514,24,112,90,2,13,2,7,13,3
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",16,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:22",1324,1311,0,13,0,538,525,0,13,0,518,20,1442,904,31,223,173,2,55,12,5,10,7
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”MIRCEA ELIADE”",64,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:16:52",1295,1284,1,10,0,496,486,0,10,0,475,21,1400,904,36,168,167,17,61,12,4,3,7
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA MIRCEA NEDELCIU",73,"ORAŞ FUNDULEA",103032,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:57:10",1145,1060,1,68,16,764,680,0,68,16,729,35,1170,406,21,496,175,6,14,5,3,7,2
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",37,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:55:17",1184,1168,0,16,0,437,421,0,16,0,410,27,1286,849,21,195,123,1,28,13,9,15,5
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",39,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:28:23",1063,1052,1,9,1,428,418,0,9,1,397,31,1157,729,37,172,106,5,34,17,13,5,8
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",38,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:50:30",1526,1507,3,16,0,659,643,0,16,0,644,15,1665,1006,48,235,237,4,60,18,13,26,3
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",36,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:26:05",1275,1261,0,12,2,544,530,0,12,2,534,10,1389,845,47,199,178,5,37,30,9,24,5
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA ”NICOLAE PETRESCU”",104,CRIVĂŢ,180055,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:00:27",881,820,0,19,42,628,567,0,19,42,533,95,911,283,30,226,246,2,7,8,2,10,2
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA ”NICOLAE PETRESCU”",103,CRIVĂŢ,180055,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:08:29",822,775,1,21,25,588,542,0,21,25,546,42,912,324,17,252,247,3,6,7,3,8,3
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1",131,"DRAGOŞ VODĂ",93539,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:29:33",1018,979,0,13,26,587,548,0,13,26,553,34,1123,536,11,477,57,1,3,2,0,0,2
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1",130,"DRAGOŞ VODĂ",93539,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:02",1046,980,0,22,44,655,589,0,22,44,623,32,1120,465,20,518,64,3,2,6,6,0,4
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1",216,"TĂMĂDĂU MARE",105455,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:12:46",1247,1232,0,9,6,763,748,0,9,6,668,95,1335,572,109,170,354,1,14,10,2,5,3
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1",159,JEGĂLIA,93815,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:20:19",1580,1537,2,3,38,808,767,0,3,38,732,76,1808,1000,24,230,444,6,11,5,3,1,8
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1",183,NANA,104323,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:35:23",536,496,0,20,20,324,284,0,20,20,282,42,532,208,8,172,64,19,6,2,2,1,8
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1",182,NANA,104323,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:31:46",1379,1314,0,0,65,770,705,0,0,65,688,82,1445,675,27,420,190,22,9,3,8,4,5
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR. 1",96,CHISELET,101822,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:47",554,543,0,4,7,275,264,0,4,7,254,21,604,329,21,90,130,3,4,3,2,0,1
