precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA PNL USR PLUS-voturi","PARTIDUL PRAHOVA IN ACȚIUNE-voturi","ALIANȚA PENTRU PRAHOVA-voturi"
31,PRAHOVA,"ȘCOALA PRIMARĂ VĂRBILĂU",616,VĂRBILĂU,136134,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:58",828,822,0,5,1,357,351,0,5,1,320,37,900,543,24,26,105,13,152
31,PRAHOVA,"SCOALA PRIMARA VILCELELE - COLCEAG - STRUCTURA",384,COLCEAG,132752,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:54:17",432,421,0,11,0,222,211,0,11,0,169,53,500,278,16,6,100,3,44
31,PRAHOVA,"ȘCOALA PRIMARӐ FȂNARI, SAT FȂNARI",490,OLARI,136250,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:44",367,330,0,37,0,267,230,0,37,0,226,41,400,133,8,16,33,2,167
31,PRAHOVA,"ȘCOALA PRIMARӐ OLARII-VECHI, SAT OLARII-VECHI",488,OLARI,136250,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:44:00",603,598,1,4,0,375,371,0,4,0,307,68,700,325,16,24,63,9,195
31,PRAHOVA,"ŞCOALA SAT LUNCA-MARE, NR 166",569,ŞOTRILE,135547,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:00:25",393,387,0,5,1,295,289,0,5,1,263,32,400,105,32,12,163,6,50
31,PRAHOVA,"SCOALA SAT PLAIU CAMPINEI, NR 35",567,ŞOTRILE,135547,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:14:01",664,662,0,2,0,559,557,0,2,0,438,117,804,245,47,19,149,207,16
31,PRAHOVA,"ŞCOALA SAT SECIURI, NR 17",568,ŞOTRILE,135547,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:42",291,287,0,4,0,187,183,0,4,0,163,24,300,113,27,5,64,6,61
31,PRAHOVA,"ŞCOALA SAT VISTIERU, NR 25",570,ŞOTRILE,135547,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:57:39",465,455,0,5,5,318,308,0,5,5,288,30,500,182,32,16,93,6,141
31,PRAHOVA,"SCOALA TRENU",373,CHIOJDEANCA,132645,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:57:45",489,464,0,7,18,339,314,0,7,18,273,66,500,161,21,9,74,19,150
31,PRAHOVA,"ŞCOALA VǍRBILA",453,IORDĂCHEANU,133722,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:01:59",1169,1151,0,10,8,789,771,0,10,8,649,140,1300,511,127,32,236,32,222
31,PRAHOVA,"ȘCOALA VECHE",410,"FILIPEŞTII DE PĂDURE",133161,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:20:26",1559,1548,0,10,1,879,868,0,10,1,816,63,1700,821,115,97,240,35,329
31,PRAHOVA,"ṢCOALA VECHE MAGULA, SAT MAGULA, NR. 406A",596,TOMŞANI,135896,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:53",1089,1062,0,9,18,707,680,0,9,18,589,117,1199,493,31,19,129,11,399
31,PRAHOVA,"SCOAL GIMNAZIALA NICOVANI",602,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:02",1160,1152,0,7,1,542,534,0,7,1,484,58,1300,758,119,62,150,27,126
31,PRAHOVA,"SCOAL GIMNAZIALA RACHIERI",607,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:28:43",1185,1178,1,5,1,563,557,0,5,1,485,78,1300,737,169,59,72,23,162
31,PRAHOVA,"SCOAL PRIMARA PANTAZI",606,"VALEA CĂLUGĂREASCĂ",135949,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:55:05",964,961,0,3,0,428,425,0,3,0,380,48,1100,672,48,55,112,74,91
31,PRAHOVA,"S.C. TRANSPORT CĂLĂTORI EXPRESS S.A.",32,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:02:40",1644,1633,3,8,0,518,510,0,8,0,466,52,1700,1182,40,38,271,18,99
31,PRAHOVA,"S.C. TRANSPORT CĂLĂTORI EXPRESS S.A.",34,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:56",1055,1045,3,7,0,358,351,0,7,0,342,16,1200,842,23,18,196,19,86
31,PRAHOVA,"S.C. TRANSPORT CĂLĂTORI EXPRESS S.A.",33,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:07",1188,1178,2,8,0,375,367,0,8,0,348,27,1300,925,17,13,212,29,77
31,PRAHOVA,"SEDIU FIRMĂ PAZĂ",222,"ORAŞ BUŞTENI",131210,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:08:58",1375,1354,4,15,2,740,724,0,14,2,669,71,1500,760,67,70,292,54,186
31,PRAHOVA,"SEDIUL FOSTEI ŞCOLI CU CLASELE I-IV GHIGHIU",318,BĂRCĂNEŞTI,130552,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:58:50",606,594,2,10,0,267,257,0,10,0,246,21,700,433,37,20,114,15,60
31,PRAHOVA,"SEDIUL FOSTEI ŞCOLI CU CLASELE I-IV PUŞCAŞI",319,BĂRCĂNEŞTI,130552,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:19",333,326,0,7,0,109,102,0,7,0,99,10,400,291,8,16,45,5,25
31,PRAHOVA,"SEDIUL SERVICIULUI PUBLIC DE GOSPODARIE COMUNALA CEPTURA",364,CEPTURA,132510,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:44",502,492,0,8,2,283,273,0,8,2,250,33,500,217,25,13,63,6,143
31,PRAHOVA,"SISTEMUL DE GOSPODĂRIRE A APELOR PRAHOVA",109,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:06:34",1100,1081,2,14,3,403,386,0,14,3,394,9,1200,797,16,18,236,49,75
31,PRAHOVA,"VECHIUL SEDIU AL PRIMARIEI",360,CĂLUGĂRENI,132459,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:32:40",931,931,0,0,0,495,495,0,0,0,398,97,1000,505,27,38,64,8,261
