precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","""ALIANȚA ÎMPREUNĂ PENTRU BOTOȘANI PARTIDUL VERDE-P.N.Ț.C.D.""-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","BĂLĂUCĂ MARIA-CRISTINA-voturi"
7,BOTOŞANI,"SCOALA O. BANCILA",193,CORNI,36756,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:55:44",1076,1073,0,3,0,530,527,0,3,0,477,53,1180,650,26,43,315,12,56,2,6,2,3,6,6
7,BOTOŞANI,"SCOALA PLESANI",173,CĂLĂRAŞI,36499,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:50:57",490,484,0,6,0,277,271,0,6,0,249,28,535,258,26,7,28,1,177,7,2,0,1,0,0
7,BOTOŞANI,"SCOALA PODENI",190,CORLĂTENI,36676,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:35",336,329,0,7,0,213,206,0,7,0,193,20,363,150,4,5,82,1,94,3,3,0,0,1,0
7,BOTOŞANI,"SCOALA POIANA 2",167,BRĂEŞTI,36373,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 13:58:34",350,334,1,5,10,251,235,1,5,10,235,16,378,127,94,6,60,3,51,3,3,0,2,12,1
7,BOTOŞANI,"ŞCOALA POPENI",168,BRĂEŞTI,36373,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:11",219,201,0,11,7,152,134,0,11,7,138,14,229,77,51,3,26,0,44,1,1,1,1,10,0
7,BOTOŞANI,"SCOALA PRIMARA BADIUTI",139,"ORAŞ ŞTEFĂNEŞTI",39168,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:50:58",868,859,0,5,4,418,409,0,5,4,363,54,943,525,14,7,128,2,199,6,2,0,0,3,2
7,BOTOŞANI,"SCOALA PRIMARA ”DUMITRU POMPAS” BALINTI",262,HAVÂRNA,37547,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:57:32",391,385,0,6,0,160,154,0,6,0,141,19,433,273,10,18,58,19,26,3,3,0,4,0,0
7,BOTOŞANI,"ȘCOALA PRIMARĂ ”GHEORGHE PRICOP”",129,"ORAŞ FLĂMÂNZI",37280,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:44:35",474,468,0,6,0,186,180,0,6,0,171,15,516,330,2,6,42,3,100,4,2,3,8,1,0
7,BOTOŞANI,"SCOALA PRIMARĂ NR 1",355,ROMÂNEŞTI,38848,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:54",469,456,0,4,9,256,243,0,4,9,235,21,512,256,20,63,59,3,81,1,1,0,1,3,3
7,BOTOŞANI,"SCOALA PRIMARA NR.1 ALBESTI",146,ALBEŞTI,36131,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:29:36",635,624,0,10,1,352,341,0,10,1,303,49,688,336,10,12,44,11,126,9,4,2,83,1,1
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR. 1 CUCUTENI",239,DURNEŞTI,37217,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:20",652,645,0,4,3,375,368,0,4,3,357,18,718,343,13,11,70,1,247,9,0,3,0,3,0
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR. 1 HORIA",320,MITOC,38376,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:14:07",396,381,0,11,4,275,260,0,11,4,259,16,428,153,4,9,93,0,145,5,2,0,1,0,0
7,BOTOŞANI,"SCOALA PRIMARA NR. 1 SAT CRISTESTI , DENUMIRE UZUALA SCOALA DIN GHILANESTI",208,CRISTEŞTI,36907,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:50:40",486,441,0,5,40,292,247,0,5,40,278,14,526,234,8,2,58,6,192,5,4,1,1,1,0
7,BOTOŞANI,"SCOALA PRIMARĂ NR.1 TIMUȘ SAT TIMUȘ",154,AVRĂMENI,36202,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:31",557,534,0,8,15,365,342,0,8,15,342,23,605,240,4,5,235,3,94,1,0,0,0,0,0
7,BOTOŞANI,"SCOALA PRIMARA NR.2 BUIMACENI",147,ALBEŞTI,36131,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:11:31",613,607,0,5,1,318,312,0,5,1,295,23,668,350,9,11,49,2,169,11,1,0,41,2,0
7,BOTOŞANI,"SCOALA PRIMARA NR.2 CERCHEJENI",164,BLÂNDEŞTI,39983,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:19",682,656,0,16,10,411,385,0,16,10,373,38,741,330,5,8,138,19,185,6,3,0,6,0,3
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR. 2 COTU",182,COPĂLĂU,36569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:57:03",493,467,0,4,22,272,246,0,4,22,254,18,539,267,11,2,58,0,108,4,2,1,18,0,50
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR. 2 DEALU CRUCII",419,VORNICENI,39836,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:17:13",307,298,0,7,2,172,163,0,7,2,156,16,328,156,1,7,64,2,77,3,0,0,0,1,1
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR.2 MÂNĂSTIRENI",397,UNŢENI,39532,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:52",651,639,0,8,4,301,289,0,8,4,277,24,711,410,12,37,145,25,47,2,2,1,2,2,2
7,BOTOŞANI,"SCOALA PRIMARA NR.2 STRAHOTIN",225,DÂNGENI,37057,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:50",452,427,0,11,14,257,233,0,11,13,241,16,485,228,92,26,17,2,100,0,1,1,1,1,0
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR.3 CERBU",183,COPĂLĂU,36569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:55:12",667,657,0,5,5,339,329,0,5,5,318,21,729,390,30,1,118,0,152,5,0,1,4,1,6
7,BOTOŞANI,"SCOALA PRIMARA NR.3 COSTIUGENI",148,ALBEŞTI,36131,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:28",442,435,0,7,0,183,176,0,7,0,161,22,482,299,14,5,21,1,80,0,2,36,0,1,1
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR. 3, DOLINA",286,LEORDA,37850,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:49",890,860,0,30,0,498,468,0,30,0,474,24,938,440,20,13,80,4,341,5,1,3,1,5,1
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR.3 SCHIT-ORĂȘENI",210,CRISTEŞTI,36907,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:32:09",477,456,0,9,12,247,226,0,9,12,233,14,509,262,3,7,99,2,107,1,6,0,4,0,4
7,BOTOŞANI,"SCOALA PRIMARA NR. 3 SUHARAU",365,SUHARĂU,38982,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:43:16",962,941,0,10,11,503,482,0,10,11,449,54,1058,555,20,19,277,6,69,9,13,5,7,19,5
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR.4 AUREL VLAICU",156,AVRĂMENI,36202,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:38:37",474,462,1,5,6,297,286,0,5,6,268,29,520,223,5,11,141,1,102,4,2,0,1,0,1
