precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALINȚA PARTIDUL NAȚIONAL LIBERAL-UNIUNEA SALVAȚI ROMÂNIA-PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-voturi","PARTIDUL VERDE-voturi"
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU PONI”",168,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:26",937,927,1,9,0,318,309,0,9,0,312,6,991,673,101,21,87,7,4,4,1,83,4
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU RAREȘ”",121,"MUNICIPIUL BACĂU",20297,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:05:07",1575,1562,3,10,0,543,533,0,10,0,493,50,1700,1157,121,37,29,62,18,11,29,167,19
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU RAREȘ”",122,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:32",1307,1293,3,11,0,450,439,0,11,0,422,27,1400,951,83,34,37,41,29,3,43,136,16
4,BACĂU,"LICEUL TEHNOLOGIC (TCR)",174,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:09:16",945,938,2,5,0,350,344,1,5,0,330,20,1000,650,89,18,116,12,10,3,10,70,2
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA”",181,"ORAŞ BUHUŞI",20778,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 09:36:39",1312,1294,0,8,10,410,392,0,8,10,368,42,1400,990,131,18,27,86,9,6,20,65,6
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA”",180,"ORAŞ BUHUŞI",20778,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 09:36:39",1453,1444,0,9,0,484,475,0,9,0,456,28,1600,1116,168,32,35,108,14,3,12,78,6
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA” BUHUȘI CORP B",188,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:32",1688,1676,0,12,0,504,492,0,12,0,451,53,1900,1396,162,20,35,106,15,11,20,76,6
4,BACĂU,"LOCALUL ŞCOLII FUNDOAIA",398,HURUIEŞTI,23047,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 20:40:52",316,312,0,4,0,209,205,0,4,0,178,24,309,107,119,9,3,1,4,2,2,38,0
4,BACĂU,"LOCALUL ŞCOLII OCHENI",396,HURUIEŞTI,23047,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:31:16",298,284,0,12,2,181,167,0,12,2,161,20,300,119,122,0,3,0,2,2,0,31,1
4,BACĂU,"PRIMĂRIA BÎRSĂNEŞTI",255,BÂRSĂNEŞTI,21454,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:48:15",1439,1435,1,2,1,680,676,1,2,1,612,68,1512,832,248,24,69,25,28,9,4,195,10
