precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL LIGA ORGANIZATA A REGIUNILOR DREPTE-voturi",PSD-ALDE-PNȚCD-ADER-voturi
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT”AMICII” (GRĂDINIŢA NR.12 )",151,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:55",1176,1159,5,11,1,455,443,0,11,1,437,18,1300,845,29,16,104,0,5,9,135,12,24,9,7,87
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MUGUREL” (GRĂDINIŢA NR. 43)",131,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:19:37",1535,1519,0,15,1,583,567,0,15,1,557,26,1700,1117,32,25,168,3,12,8,125,17,23,14,4,126
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MUGUREL” (GRĂDINIŢA NR. 43)",130,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:19:38",1410,1395,3,12,0,446,434,0,12,0,426,20,1500,1035,21,20,134,3,8,6,98,11,18,5,3,99
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NOROCEL”(GRĂDINIŢA NR.13)",166,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:24:25",391,379,0,12,0,391,379,0,12,0,382,9,1100,709,13,20,132,1,4,8,92,13,21,5,5,68
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NOROCEL”(GRĂDINIŢA NR.13)",165,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:13:08",893,877,2,14,0,318,304,0,14,0,307,11,4000,2728,8,18,82,6,4,5,78,14,16,4,4,68
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",552,"VALU LUI TRAIAN",63125,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:47",2006,1982,2,20,2,972,950,0,20,2,935,31,2100,1034,25,40,639,0,5,22,86,2,30,10,4,72
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 4",281,"ORAŞ CERNAVODĂ",60776,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 21:30:02",1414,1402,1,8,3,668,657,0,8,3,623,43,1600,934,112,57,289,0,22,20,16,3,23,6,3,72
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.45",190,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:06:21",867,847,9,11,0,385,374,0,11,0,375,10,901,516,17,16,106,5,2,1,134,7,17,6,2,62
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.6",203,"MUNICIPIUL CONSTANŢA",60419,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:28:17",759,735,3,21,0,324,303,0,21,0,313,11,800,476,25,8,89,0,7,9,72,7,28,2,1,65
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 8 (TOMIS II)",201,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:51",788,770,0,16,2,347,329,0,16,2,330,17,800,453,16,12,103,2,1,8,93,6,14,6,0,69
