precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL VERDE-voturi"
8,BRAŞOV,"SCOALA GENERALA CALBOR",296,BECLEAN,40544,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:22:04",234,193,0,39,2,172,131,0,39,2,156,16,200,28,3,24,0,89,2,3,0,2,30,0,2,1
8,BRAŞOV,"SCOALA GENERALA CARPINIS",430,TĂRLUNGENI,42003,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:54:58",422,415,0,7,0,192,185,0,7,0,183,9,500,308,13,37,10,75,0,8,4,1,29,2,2,2
8,BRAŞOV,"ȘCOALA GENERALĂ COLONIA BOD",301,BOD,40606,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 09:48:37",545,519,0,21,5,545,519,0,21,5,491,54,1100,555,26,65,38,155,5,25,22,12,120,2,13,8
8,BRAŞOV,"SCOALA GENERALA, CORP B",328,CRISTIAN,40900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:09:57",1727,1704,0,15,8,990,967,0,15,8,958,32,1800,778,34,127,8,536,16,27,37,4,124,4,23,18
8,BRAŞOV,"ŞCOALA GENERALĂ DACIA",365,JIBERT,41284,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:58:18",623,614,1,8,0,319,311,0,8,0,268,51,700,381,25,105,5,114,11,2,0,0,2,0,2,2
8,BRAŞOV,"ȘCOALA GENERALĂ FELMER",420,ŞOARŞ,41943,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:21",263,252,0,11,0,263,252,0,11,0,196,67,400,137,7,76,2,83,4,1,0,0,20,1,1,1
8,BRAŞOV,"ŞCOALA GENERALĂ FUNDATA",340,FUNDATA,40991,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:32",537,452,0,57,28,427,342,0,57,28,404,23,490,63,19,70,7,240,2,6,39,2,16,0,1,2
8,BRAŞOV,"ŞCOALA GENERALĂ GHIMBAV CLASELE I-IV",245,"ORAŞ GHIMBAV",40214,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:53:29",1533,1515,0,11,7,670,652,0,11,7,635,35,1700,1030,30,110,11,270,5,23,9,7,117,8,4,41
8,BRAŞOV,"ŞCOALA GENERALĂ GHIMBAV CLASELE V-VIII",244,"ORAŞ GHIMBAV",40214,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:40:14",1396,1372,12,9,3,630,617,1,9,3,609,21,1500,870,50,80,19,252,14,24,5,7,91,3,5,59
8,BRAŞOV,"ŞCOALA GENERALĂ GRÎNARI",367,JIBERT,41284,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:16:00",296,285,2,7,2,154,145,0,7,2,145,9,300,146,13,7,85,35,2,0,0,1,2,0,0,0
