precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIEI EUROPENE-voturi","ALIANȚA PNL-UDMR-PNȚCD-voturi","PARTIDUL FORTA NATIONALA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"PRIMARIA COMUNEI LELESE, SALA BIBLIONET",390,LELESE,90066,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:53:48",146,140,0,4,2,98,92,0,4,2,95,3,180,82,0,0,9,0,0,1,1,1,3,4,4,72
22,HUNEDOARA,"PRIMĂRIA COMUNEI RAPOLTU MARE",432,"RAPOLTU MARE",90663,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:39:39",779,757,1,19,2,479,458,0,19,2,448,31,863,384,15,7,66,4,2,2,12,10,14,34,40,242
22,HUNEDOARA,"PRIMĂRIA MUNICIPIULUI ORĂŞTIE",138,"MUNICIPIUL ORĂŞTIE",87638,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:12",1406,1392,4,8,2,527,518,1,6,2,498,29,1470,943,2,6,107,2,10,9,17,14,43,10,22,256
22,HUNEDOARA,"PRIMĂRIA ORAŞULUI HAŢEG",214,"ORAŞ HAŢEG",87576,3,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 12:59:32",1550,1525,0,9,16,926,901,0,9,16,847,79,1723,797,4,2,129,11,7,60,10,78,28,52,149,317
22,HUNEDOARA,"SALĂ DE ȘEDINȚE PRIMĂRIA COMUNEI GURASADA",372,GURASADA,89687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:40:41",576,554,0,18,4,358,336,0,18,4,332,26,650,292,0,1,57,0,3,2,4,9,6,14,18,218
22,HUNEDOARA,"SALA DE SPORT",175,"MUNICIPIUL VULCAN",87175,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:10:32",1473,1463,1,9,0,524,515,0,9,0,500,24,1600,1076,14,2,49,3,13,10,13,11,117,25,76,167
22,HUNEDOARA,"SALA DE SPORT A ŞCOLII GIMNAZIALE ” DOMINIC STANCA ”",129,"MUNICIPIUL ORĂŞTIE",87638,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:07",1558,1540,4,14,0,545,531,0,14,0,533,12,1732,1187,3,0,114,0,11,7,19,25,46,32,28,248
22,HUNEDOARA,"SALA SPORTURILOR",20,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:56:23",1307,1283,10,14,0,491,477,0,14,0,458,33,1400,909,22,47,105,3,45,11,27,16,28,25,22,107
22,HUNEDOARA,"SC EDIL SAL PREST SA",223,"ORAŞ PETRILA",87077,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:51",1393,1384,0,9,0,532,523,0,9,0,499,33,1590,1058,1,2,65,0,10,6,21,32,17,15,55,275
22,HUNEDOARA,"SC EDIL SAL PREST SA",224,"ORAŞ PETRILA",87077,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:20:46",1362,1351,0,9,2,534,523,0,9,2,513,21,1540,1006,3,1,49,1,6,6,17,17,27,9,60,317
22,HUNEDOARA,"S.C. GENERAL TRANS S.A.",160,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:41:09",654,643,0,11,0,292,281,0,11,0,269,23,725,433,5,1,38,1,10,1,8,13,11,15,28,138
22,HUNEDOARA,"ŞC.GIM. ”DR. AUREL VLAD”",133,"MUNICIPIUL ORĂŞTIE",87638,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:27:41",1512,1493,1,14,4,599,581,0,14,4,565,34,1681,1082,9,5,103,8,8,17,15,16,58,33,27,266
22,HUNEDOARA,"ŞC. GIM. ”D.STANCA”",131,"MUNICIPIUL ORĂŞTIE",87638,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:03",1428,1412,1,15,0,480,465,0,15,0,454,26,1632,1152,3,5,77,1,10,4,18,16,41,23,33,223
22,HUNEDOARA,"ŞC.GIM. I-IV GARĂ",134,"MUNICIPIUL ORĂŞTIE",87638,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:07",1472,1464,1,6,1,529,522,0,6,1,482,47,1649,1120,9,1,54,3,8,6,15,17,32,25,31,281
22,HUNEDOARA,"ŞCOALA GENERALĂ CĂRMĂZĂNEŞTI",375,GURASADA,89687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:48:56",89,77,0,10,2,55,43,0,10,2,49,6,100,45,1,1,4,0,0,0,0,0,1,3,2,37
22,HUNEDOARA,"ȘCOALA GENERALĂ CĂSTĂU",282,BERIU,88261,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:22:56",1070,1046,0,17,7,583,559,0,17,7,536,47,1188,605,7,4,182,6,22,9,14,43,11,32,30,176
22,HUNEDOARA,"ȘCOALA GENERALĂ CLS.1-4 ȘTEIA",485,TOMEŞTI,91447,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:15:01",322,305,0,15,2,226,209,0,15,2,209,17,360,134,5,0,77,0,0,0,9,2,5,14,22,75
22,HUNEDOARA,"ȘCOALA GENERALĂ CU CLS. I-IV NOJAG",349,"CERTEJU DE SUS",89240,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:14:08",213,189,1,22,1,136,113,0,22,1,129,7,219,83,1,0,18,2,5,0,1,26,5,8,3,60
22,HUNEDOARA,"ȘCOALA GENERALĂ CU CLS. I-IV VĂRMAGA",350,"CERTEJU DE SUS",89240,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:14:36",271,247,0,22,2,185,161,0,22,2,167,18,280,95,2,1,21,0,5,2,2,24,3,6,5,96
