precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",35,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:06:28",1093,1078,1,8,6,261,247,0,8,6,257,4,1200,939,3,6,5,10,189,11,11,11,11
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”NICOLAE COLAN”",33,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:32",1145,1134,5,6,0,309,303,0,6,0,301,8,1200,891,3,6,2,8,196,20,17,23,26
15,COVASNA,"ŞCOALA GIMNAZIALĂ NR.2 SITA BUZĂULUI",189,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:25:27",825,817,4,4,0,381,375,2,4,0,335,46,900,519,4,49,10,28,3,130,100,1,10
15,COVASNA,"ŞCOALA GIMNAZIALĂ OITUZ",122,BREŢCU,64096,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:10:45",265,254,0,11,0,111,100,0,11,0,98,13,300,189,4,3,4,2,60,10,8,2,5
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ORBAN BALAZS” MOACŞA",164,MOACŞA,64568,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:22",556,555,1,0,0,227,227,0,0,0,207,20,590,363,8,2,0,0,187,3,3,4,0
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” TÂRGU SECUIESC",56,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:42",1265,1256,1,7,1,386,378,0,7,1,375,11,1400,1014,6,6,3,4,262,11,7,71,5
15,COVASNA,"ŞCOALA GIMNAZIALĂ SĂRĂMAŞ",96,BARCANI,63633,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:14:23",566,561,0,5,0,329,324,0,5,0,300,29,600,271,11,119,26,19,6,30,68,1,20
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”TREFÁN LEONÁRD” POIAN",177,POIAN,64719,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:18",997,947,1,0,49,606,557,0,0,49,520,86,1090,484,16,7,2,9,312,13,1,159,1
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”TUROCZI MÓZES” TÂRGU SECUIESC",58,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:39",1321,1312,0,8,1,333,324,0,8,1,312,21,1400,1067,9,5,2,13,193,15,9,63,3
15,COVASNA,"ŞCOALA GIMNAZIALĂ VÂLCELE",204,VÂLCELE,64942,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:22:01",1080,1024,0,15,41,719,663,0,15,41,554,165,1200,481,70,114,11,64,16,72,202,0,5
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",20,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:27:47",1300,1276,5,13,6,415,396,0,13,6,398,17,1400,985,5,5,5,10,320,12,11,24,6
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",19,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:05:48",567,549,7,11,0,190,179,0,11,0,181,9,604,414,1,1,3,7,137,9,6,10,7
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÉGH ANTAL” CERNAT",129,CERNAT,64194,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:15:38",1197,1172,2,0,23,542,519,0,0,23,479,63,1200,658,28,27,3,3,337,11,3,62,5
15,COVASNA,"ŞCOALA GIMNAZIALĂ ZĂBRĂTĂU",191,"SITA BUZĂULUI",63688,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:54",443,435,0,7,1,230,222,0,7,1,201,29,500,270,3,53,18,16,2,57,43,0,9
15,COVASNA,"ŞCOALA PRIMARĂ-ANINOASA",180,RECI,64773,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:54",344,338,0,5,1,125,119,0,5,1,102,23,400,275,4,1,0,0,93,1,2,1,0
15,COVASNA,"ŞCOALA PRIMARĂ ARIUŞD",202,VÂLCELE,64942,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:30",370,364,0,4,2,201,195,0,4,2,176,25,400,199,3,9,5,9,54,71,22,2,1
