precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU MODERNIZAREA NEAMȚULUI 2020""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
29,NEAMŢ,"COLEGIUL TEHNIC „DANUBIANA”",118,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:11:36",1352,1342,2,8,0,475,467,0,8,0,430,37,1500,1033,41,16,144,20,57,146,6
29,NEAMŢ,"COLEGIUL TEHNIC DE TRANSPORTURI",55,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:40",1209,1183,0,15,11,373,347,0,15,11,350,23,1300,927,53,21,109,3,65,86,13
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",57,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:33:53",1360,1348,3,9,0,495,486,0,9,0,467,28,1500,1005,88,33,131,4,77,124,10
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",56,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:10:45",1263,1254,1,8,0,401,393,0,8,0,385,16,1401,1000,69,24,107,6,69,105,5
29,NEAMŢ,"COLEGIUL TEHNIC ”GHEORGHE CARTIANU”",59,"MUNICIPIUL PIATRA-NEAMŢ",120726,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:56:23",1408,1370,3,6,29,520,485,0,6,29,467,53,1500,980,71,32,143,3,91,112,15
29,NEAMŢ,"COLEGIUL TEHNIC ”GHEORGHE CARTIANU”",61,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:28",1282,1268,3,11,0,454,443,0,11,0,443,11,1398,944,57,47,123,6,82,115,13
29,NEAMŢ,"COLEGIUL TEHNIC ”GHEORGHE CARTIANU”",60,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:49",897,888,0,9,0,288,279,0,9,0,277,11,1001,713,42,19,99,2,45,61,9
29,NEAMŢ,"COLEGIUL TEHNIC ”GHEORGHE CARTIANU”",62,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:06",1320,1309,0,11,0,325,314,0,11,0,307,18,1400,1075,59,23,70,4,35,99,17
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",144,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:22:11",1892,1878,0,14,0,569,555,0,14,0,526,43,2000,1431,26,37,112,13,32,285,21
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",143,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:01:16",611,603,2,6,0,281,274,1,6,0,263,18,700,419,12,17,67,3,20,134,10
29,NEAMŢ,"COLEGIUL TEHNIC „MIRON COSTIN”",99,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:29",1290,1277,1,12,0,269,257,0,12,0,243,26,1400,1131,29,8,81,11,41,60,13
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP A",112,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:06:09",1250,1239,0,11,0,400,389,0,11,0,365,35,1400,1000,39,22,120,13,56,105,10
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP B",113,"MUNICIPIUL ROMAN",120860,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:35:42",1479,1461,5,13,0,517,504,0,13,0,501,16,1600,1083,19,21,175,30,97,147,12
29,NEAMŢ,"COMPLEXUL EXPOZIȚIONAL MUNICIPAL",45,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:42",1354,1344,3,7,0,468,461,0,7,0,456,12,1500,1032,74,32,136,2,81,126,5
29,NEAMŢ,"CREŞA SMIRODAVA",95,"MUNICIPIUL ROMAN",120860,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:09:03",1393,1379,1,11,2,412,399,0,11,2,390,22,1500,1088,21,23,141,28,41,125,11
29,NEAMŢ,"DIRECȚIA AGRICOLĂ",43,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:14:37",1329,1312,3,12,2,479,465,0,12,2,447,32,1400,921,48,43,141,4,76,125,10
29,NEAMŢ,"DIRECŢIA DE ASISTENŢĂ SOCIALĂ ROMAN",104,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:10",1083,1072,0,9,2,353,342,0,9,2,342,11,1200,847,15,20,113,16,56,111,11
29,NEAMŢ,"DISPENSAR MEDICAL SLOBOZIA",133,"ORAŞ ROZNOV",124117,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:18:05",1472,1435,1,19,17,711,675,0,19,17,654,57,1600,889,34,160,215,9,54,163,19
29,NEAMŢ,"FOSTA GRĂDINIȚĂ DE COPII BÎRGĂUANI DEAL",167,BÂRGĂUANI,121466,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:11:36",477,458,0,8,11,284,265,0,8,11,261,23,500,216,17,24,65,2,5,143,5
29,NEAMŢ,"FOSTA SCOALĂ BOZIENII DE SUS",400,RUGINOASA,125105,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:24:23",346,296,1,8,41,200,151,0,8,41,180,20,300,100,13,45,72,2,5,42,1
29,NEAMŢ,"FOSTA ŞCOALA CU CLASELE I-IV,LOCALITATEA ŢUŢCANII DIN VALE",160,BAHNA,121153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:28:45",281,251,0,12,18,184,154,0,12,18,170,14,300,116,6,5,88,0,1,67,3
29,NEAMŢ,"FOSTA SCOALA CU CLASELE I-IV SATUL HOCIUNGI",332,MOLDOVENI,123228,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:27:49",700,683,0,7,10,321,304,0,7,10,268,53,800,479,18,15,176,3,12,40,4
29,NEAMŢ,"FOSTA ȘCOALĂ PRIMARĂ BREAZA",168,BÂRGĂUANI,121466,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:34:35",173,170,0,3,0,108,105,0,3,0,104,4,200,92,38,6,21,1,1,37,0
29,NEAMŢ,"FOSTA ȘCOALĂ PRIMARĂ CERTIENI",169,BÂRGĂUANI,121466,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:38:26",174,169,0,5,0,99,94,0,5,0,87,12,200,101,17,15,21,0,2,32,0
29,NEAMŢ,"FOSTA ȘCOALA PRIMARĂ (SALA DE FESTIVITĂȚI)",464,ŢIBUCANI,124803,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:55:56",326,313,1,9,3,191,179,0,9,3,179,12,400,209,26,25,67,1,10,41,9
29,NEAMŢ,"FOSTA ȘCOALĂ PRIMARĂ VLĂDICENI",173,BÂRGĂUANI,121466,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:55:23",485,482,0,3,0,225,222,0,3,0,200,25,500,275,19,21,65,0,4,90,1
29,NEAMŢ,"GARA ROZNOV",130,"ORAŞ ROZNOV",124117,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:35:35",1552,1534,0,18,0,786,768,0,18,0,679,107,1700,914,40,144,223,5,40,216,11
29,NEAMŢ,GRADINITA,303,GRUMĂZEŞTI,122908,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:39",1068,1059,1,5,3,515,507,0,5,3,459,56,1200,685,19,19,71,4,12,333,1
29,NEAMŢ,GRADINITA,302,GRUMĂZEŞTI,122908,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:56:25",1276,1266,0,10,0,715,705,0,10,0,664,51,1400,685,11,27,104,3,27,485,7
29,NEAMŢ,GRADINITA,448,TĂMĂŞENI,124634,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:50:43",1060,1053,0,7,0,335,328,0,7,0,298,37,1200,865,17,12,157,0,67,36,9
29,NEAMŢ,GRADINITA,447,TĂMĂŞENI,124634,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:01:41",1319,1315,2,2,0,512,510,0,2,0,459,53,1500,988,17,19,210,3,129,77,4
29,NEAMŢ,GRĂDINIŢA,440,TARCĂU,124493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:38:17",430,423,0,5,2,250,243,0,5,2,224,26,501,251,17,22,84,2,7,85,7
29,NEAMŢ,GRĂDINIŢA,327,MĂRGINENI,123175,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:52:36",967,947,0,7,13,501,481,0,7,13,449,52,1000,499,18,17,121,3,30,253,7
29,NEAMŢ,GRĂDINIŢA,441,TARCĂU,124493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:10:02",289,278,0,6,5,175,164,0,6,5,152,23,300,125,11,18,57,0,10,53,3
29,NEAMŢ,GRĂDINIŢA,439,TARCĂU,124493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:54:45",533,524,2,6,1,264,257,0,6,1,248,16,600,336,26,18,112,2,22,65,3
29,NEAMŢ,"GRĂDINIŢĂ - (CĂTUNĂ)",190,BODEŞTI,121607,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:20",520,511,1,5,3,255,247,0,5,3,229,24,599,346,31,16,46,2,13,117,4
29,NEAMŢ,"GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5",15,"MUNICIPIUL PIATRA-NEAMŢ",120726,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:50:33",1411,1398,2,11,0,480,469,0,11,0,456,24,1500,1020,76,48,111,4,75,130,12
29,NEAMŢ,"GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5",16,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:46",1059,1053,1,5,0,316,311,0,5,0,295,21,1200,884,58,17,91,2,42,79,6
29,NEAMŢ,"GRADINITA CU PROGRAM NORMAL",364,PIPIRIG,123521,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:32:34",545,536,0,7,2,266,257,0,7,2,249,17,600,334,20,20,42,0,12,153,2
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL",434,"ŞTEFAN CEL MARE",124411,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:04",425,419,0,4,2,212,206,0,4,2,175,37,400,188,24,13,90,0,5,39,4
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL",223,CÂNDEŞTI,122061,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:58",1075,1068,0,7,0,493,486,0,7,0,421,72,1200,707,46,30,115,0,72,147,11
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL",224,CÂNDEŞTI,122061,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:56:44",700,693,0,7,0,398,391,0,7,0,352,46,800,402,51,27,95,0,53,121,5
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL - BORCA CENTRU",199,BORCA,121652,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:16:47",780,774,0,6,0,459,453,0,6,0,417,42,800,341,12,41,147,3,7,176,31
29,NEAMŢ,"GRADINITA CU PROGRAM NORMAL CATUNA",471,URECHENI,124849,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:56:39",513,504,0,6,3,244,235,0,6,3,210,34,600,356,13,23,24,1,5,143,1
29,NEAMŢ,"GRADINITA CU PROGRAM NORMAL GROSI",219,BRUSTURI,121938,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:16",397,387,0,10,0,199,189,0,10,0,159,40,500,301,5,8,57,3,14,65,7
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL,LOCALITATEA BĂHNIŞOARA",161,BAHNA,121153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:42",376,362,0,7,7,231,217,0,7,7,194,37,400,169,9,6,118,0,0,59,2
29,NEAMŢ,"GRĂDINIŢĂ CU PROGRAM NORMAL,LOCALITATEA BROŞTENI",159,BAHNA,121153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:48:16",437,370,0,19,48,309,242,0,19,48,281,28,400,91,10,4,168,1,2,90,6
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL, LOC TRAIAN",487,ZĂNEŞTI,125061,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:50",892,883,1,5,3,427,419,0,5,3,381,46,1000,573,32,125,52,4,23,138,7
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL LUŢCA",405,SAGNA,124153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:01:27",405,395,1,9,0,184,175,0,9,0,161,23,500,316,17,6,52,2,7,72,5
29,NEAMŢ,"GRADINITA CU PROGRAM NORMAL NEGULESTI,COMUNA PIATRA SOIMULUI",358,"PIATRA ŞOIMULUI",123479,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:47:13",607,592,0,8,7,306,291,0,8,7,270,36,700,394,21,10,136,1,12,88,2
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",75,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:37:55",1521,1511,0,10,0,520,510,0,10,0,488,32,1700,1180,71,40,157,6,75,115,24
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",180,"BICAZU ARDELEAN",121340,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:15:32",430,412,0,7,11,215,197,0,7,11,195,20,500,285,16,14,96,0,29,35,5
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL NR.19",64,"MUNICIPIUL PIATRA-NEAMŢ",120726,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:48:03",836,827,0,9,0,286,277,0,9,0,260,26,900,614,49,25,60,2,34,78,12
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2",368,PODOLENI,123674,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:09:58",1221,1216,0,3,2,551,546,0,3,2,481,65,1300,754,39,32,223,1,22,151,13
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 RĂUCEŞTI",384,RĂUCEŞTI,123914,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:27",658,650,0,4,4,395,387,0,4,4,367,28,700,305,45,37,101,2,53,121,8
