precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST SOCIALIST ROMÂN-voturi","PARTIDUL VERDE-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL VOIEVODEASA",477,SUCEVIŢA,150418,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:13:39",1076,1069,0,6,1,604,597,0,6,1,513,91,1200,596,33,115,162,27,9,141,3,12,2,9
35,SUCEAVA,"CĂMINUL CULTURAL VOITINEL",536,VOITINEL,151558,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:55",1826,1792,1,2,31,872,839,0,2,31,787,85,2000,1128,58,117,573,13,10,2,3,6,3,2
35,SUCEAVA,"CĂMINUL CULTURAL ZAMOSTEA",548,ZAMOSTEA,151246,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:06:27",1220,1182,0,16,22,665,627,0,16,22,607,58,1300,635,34,133,383,24,7,11,4,5,5,1
35,SUCEAVA,"CASA DE CULTURA",101,"MUNICIPIUL RĂDĂUŢI",146628,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:21:27",1798,1784,4,9,1,637,627,0,9,1,612,25,1994,1357,53,254,178,14,22,42,3,14,23,9
35,SUCEAVA,"CASA DE CULTURĂ CIOCĂNEȘTI",257,CIOCĂNEŞTI,151451,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:19",935,915,2,5,13,563,545,0,5,13,531,32,1000,437,70,273,95,14,52,14,1,9,1,2
35,SUCEAVA,"CASA DE CULTURĂ ”ELISEI TODAȘCĂ”",427,"POIANA STAMPEI",149851,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:56:34",1656,1601,0,10,45,1106,1051,0,10,45,1054,52,1700,594,46,210,701,21,13,42,3,6,6,6
35,SUCEAVA,"CASA DE CULTURĂ LITENI",165,"ORAŞ LITENI",149227,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 21:00:36",1736,1722,2,9,3,738,725,1,9,3,688,44,1800,1062,93,405,94,30,6,43,0,7,8,2
35,SUCEAVA,"CASA DE CULTURA ” PLATON PARDAU”",116,"MUNICIPIUL VATRA DORNEI",146744,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:33",1310,1304,0,6,0,608,602,0,6,0,584,24,1500,892,76,220,157,21,10,77,7,7,3,6
35,SUCEAVA,"CASA DE CULTURĂ VICOVU DE SUS - LAURA",197,"ORAŞ VICOVU DE SUS",151095,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:22:30",1715,1714,0,0,1,696,695,0,0,1,638,58,1900,1204,36,142,421,12,3,3,2,10,9,0
35,SUCEAVA,"CASA DE PRĂZNUIRE A PAROHIEI ORTODOXE POIANA",558,ZVORIŞTEA,151344,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:03:22",472,465,0,7,0,201,194,0,7,0,174,27,600,399,15,57,82,2,2,3,8,2,1,2
35,SUCEAVA,"CASA DE TIP FAMILIAL ”CIREŞARII”",413,OSTRA,149655,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:13:01",1005,997,0,1,7,536,528,0,1,7,493,43,1083,547,14,404,61,4,1,7,1,0,1,0
35,SUCEAVA,"CASA POLONĂ ”DOM POLSKI”",388,"MĂNĂSTIREA HUMORULUI",149370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:04:09",168,159,0,9,0,73,64,0,9,0,72,1,200,127,10,45,5,4,1,5,1,1,0,0
35,SUCEAVA,"CASA TINERETULUI",470,STULPICANI,150356,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:51:42",1172,1167,1,0,4,687,683,0,0,4,650,37,1200,513,34,407,140,17,19,17,1,1,10,4
35,SUCEAVA,"CASA TRADIȚIILOR",502,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:00",534,525,0,9,0,243,234,0,9,0,205,38,600,357,25,52,70,16,5,27,0,3,1,6
35,SUCEAVA,"CENTRU DE ASISTENTA DUPA PROGRAMUL SCOLAR TIP AFTER SCHOOL",241,BRODINA,147241,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:02",646,642,0,4,0,283,279,0,4,0,233,50,800,517,42,67,54,0,55,5,0,7,0,3
35,SUCEAVA,"CENTRU DE ZI PENTRU COPII",523,"VATRA MOLDOVIŢEI",150980,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:33:28",650,634,1,1,14,316,301,0,1,14,293,23,740,424,34,209,25,5,5,6,4,1,1,3
35,SUCEAVA,"CENTRUL CULTURAL BUCOVINA",6,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:11",1661,1648,0,13,0,541,528,0,13,0,527,14,1800,1259,73,160,117,33,10,70,14,3,35,12
35,SUCEAVA,"CENTRUL CULTURAL EDUCAȚIONAL",428,"POIANA STAMPEI",149851,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:45:58",266,258,0,6,2,170,162,0,6,2,154,16,400,230,7,9,121,11,2,1,1,1,1,0
35,SUCEAVA,"CENTRUL CULTURAL ”MIHAI TELIMAN”",182,"ORAŞ SIRET",146655,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:21:23",1325,1294,1,5,25,599,569,0,5,25,573,26,1424,825,27,333,139,15,6,29,4,4,8,8
35,SUCEAVA,"CENTRUL DE AFACERI MULTICULTURAL CACICA",248,CACICA,147526,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:49:32",1575,1551,0,6,18,882,858,0,6,18,803,79,1700,818,33,414,261,35,11,28,3,7,5,6
35,SUCEAVA,"CENTRUL DE PRIMIRE, ASISTARE ŞI ÎNGRIJIRE A PERSOANELOR VÂRSTNICE",121,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:11:38",528,510,1,7,10,286,269,0,7,10,271,15,600,314,64,108,53,4,3,27,2,5,2,3
35,SUCEAVA,"CENTRUL LOCAL DE PROMOVARE ȘI INFORMARE TURISTICĂ VATRA MOLDOVIȚEI",522,"VATRA MOLDOVIŢEI",150980,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:06:59",1179,1156,0,5,18,621,598,0,5,18,554,67,1300,679,89,335,81,10,7,13,2,8,4,5
35,SUCEAVA,"CENTRUL PENTRU SUSŢINEREA TRADIŢIILOR BUCOVINENE",14,"MUNICIPIUL SUCEAVA",146263,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:13:19",1492,1482,1,9,0,466,457,0,9,0,450,16,1600,1134,70,155,89,37,5,46,6,9,18,15
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA, CORP A",52,"MUNICIPIUL SUCEAVA",146263,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:40:12",1921,1910,0,11,0,602,591,0,11,0,585,17,2100,1498,104,211,91,36,11,67,10,14,23,18
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA- CORP B",53,"MUNICIPIUL SUCEAVA",146263,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:59:25",1750,1742,0,8,0,428,420,0,8,0,401,27,1900,1472,58,153,77,28,15,46,6,8,8,2
35,SUCEAVA,"CENTRUL SOCIAL DE ZI PENTRU PERSOANE VÂRSTNICE, SAT BOBEICA",374,"IZVOARELE SUCEVEI",149183,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:43:28",217,201,0,5,11,217,201,0,5,11,192,22,400,183,16,106,15,2,4,42,2,3,1,1
35,SUCEAVA,"CIRCUMSCRIPŢIA SANITAR-VETERINARĂ",68,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:40:52",2203,2191,2,10,0,597,587,0,10,0,573,24,2300,1703,114,251,91,22,8,64,3,10,4,6
35,SUCEAVA,"CLĂDIRE ADMINISTRATIVĂ",350,HÂRTOP,151549,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:33",879,876,0,1,2,478,475,0,1,2,427,51,1000,522,12,242,130,14,3,12,1,8,1,4
35,SUCEAVA,"CLĂDIRE ADMINISTRATIVĂ",349,HÂRTOP,151549,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:04:58",1163,1158,0,1,4,650,645,0,1,4,601,49,1300,650,25,300,178,34,4,41,5,10,2,2
35,SUCEAVA,"CLĂDIREA ”DOM POLSKI” VICŞANI",409,MUŞENIŢA,149584,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:04",185,174,0,4,7,95,84,0,4,7,88,7,200,105,9,56,9,0,5,0,7,1,0,1
35,SUCEAVA,"CLUBUL COPIILOR ŞI ELEVILOR",71,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:15:38",1318,1307,1,10,0,504,494,0,10,0,484,20,1430,926,105,202,70,17,19,54,4,4,5,4
35,SUCEAVA,"CLUBUL COPIILOR ŞI ELEVILOR – SATUL DE VACANŢĂ",73,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:57:53",649,640,0,9,0,275,266,0,9,0,262,13,700,425,65,125,26,8,6,21,1,2,5,3
35,SUCEAVA,"CLUBUL FERMIERILOR MESTECANIS STR FERMIERILOR NR 14 SAT MESTECANIS COMUNA IACOBENI JUDETUL SUCEAVA",362,IACOBENI,149138,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:44:08",280,267,0,5,8,197,184,0,5,8,182,15,300,103,25,35,101,3,2,9,0,1,1,5
35,SUCEAVA,"COLEGIUL” ALEXANDRU CEL BUN” CORPUL A",161,"ORAŞ GURA HUMORULUI",146584,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:05:05",1849,1838,2,9,0,647,638,0,9,0,608,39,2035,1388,35,318,120,44,6,53,4,9,10,9
35,SUCEAVA,"COLEGIUL ”ALEXANDRU CEL BUN” CORPUL B",158,"ORAŞ GURA HUMORULUI",146584,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:59:35",1952,1940,5,5,2,702,694,1,5,2,652,50,2154,1452,29,377,102,25,4,88,3,5,17,2
