precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ COALIȚIA PENTRU MARAMUREȘ CMM-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","COVACI DENIS-MIHAI-voturi"
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL ,3 GRUPE",331,LĂPUŞ,108222,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:07:30",1535,1505,2,3,25,889,861,0,3,25,855,34,1700,811,6,53,273,17,171,22,193,65,3,11,21,10,6,4
26,MARAMUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL GROŞII ŢIBLEŞULUI",325,"GROŞII ŢIBLEŞULUI",179622,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:59:50",937,918,0,15,4,588,569,0,15,4,557,31,1000,412,3,9,287,7,81,2,105,31,3,4,19,4,0,2
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 12",54,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:19",1654,1636,7,11,0,610,599,0,11,0,585,25,1800,1190,2,24,150,19,65,68,123,97,6,6,10,8,3,4
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT",166,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:29",971,947,1,20,3,576,553,0,20,3,544,32,1000,424,2,15,159,29,20,10,226,41,5,5,19,5,5,3
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOARE DE COLŢ”",36,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:54:24",1443,1433,0,10,0,485,475,0,10,0,470,15,1600,1115,1,23,138,9,50,32,111,63,3,8,12,11,1,8
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „MICUL PRINŢ”",25,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:01:42",1487,1470,1,14,2,503,487,0,14,2,486,17,1700,1197,1,23,133,11,53,34,125,50,9,5,20,13,2,7
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",30,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 16:12:11",1389,1376,2,11,0,431,420,0,11,0,412,19,1600,1169,3,16,131,11,49,29,105,33,5,8,10,3,3,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",31,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:56:27",1284,1275,0,9,0,426,417,0,9,0,422,4,1400,974,0,26,102,4,39,22,126,54,8,10,13,9,6,3
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 27",80,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:11:01",1762,1751,0,11,0,582,571,0,11,0,562,20,1900,1318,0,31,155,4,56,21,141,91,6,16,8,11,7,15
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",29,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:27:28",1450,1439,2,9,0,442,433,0,9,0,436,6,1598,1156,1,15,122,11,38,20,126,45,6,11,14,12,6,9
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 34",35,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:56:59",1388,1375,3,10,0,538,528,0,10,0,518,20,1600,1062,0,21,141,10,63,29,129,62,3,10,16,10,7,17
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",20,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:53",1502,1480,14,8,0,581,573,0,8,0,577,4,1700,1119,1,28,137,6,73,41,113,111,6,24,5,4,6,22
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",77,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:10",1551,1533,4,14,0,572,557,1,14,0,551,21,1800,1228,6,20,186,14,43,14,121,90,7,11,14,8,9,8
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",78,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:11:23",1338,1328,0,10,0,379,369,0,10,0,352,27,1500,1121,1,17,72,11,42,19,107,35,5,11,13,11,4,4
26,MARAMUREŞ,"GRĂDINIŢA DE COPII",252,"BOCICOIU MARE",107350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:12:31",503,497,2,2,2,221,216,1,2,2,200,21,500,279,58,19,35,2,6,18,34,4,2,0,13,5,2,2
26,MARAMUREŞ,"GRĂDINIŢA DE COPII",253,"BOCICOIU MARE",107350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:47:09",1317,1307,1,9,0,542,533,0,9,0,491,51,1400,858,115,21,67,9,36,8,164,18,5,8,30,3,5,2
26,MARAMUREŞ,"GRĂDINIȚA HOȘTEZE",180,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:57",854,835,1,17,1,479,461,0,17,1,444,35,900,421,4,24,128,6,47,27,126,41,10,2,5,19,3,2
26,MARAMUREŞ,"GRĂDINIŢA NR.1",386,RUSCOVA,108696,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:44",1681,1668,0,5,8,577,564,0,5,8,532,45,1800,1223,126,27,227,6,43,2,51,15,3,3,21,1,0,7
26,MARAMUREŞ,"GRĂDINIȚA NR. 1",110,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:45:47",1050,1033,1,13,3,338,322,0,13,3,322,16,1100,762,6,29,94,7,16,28,71,38,3,5,11,8,2,4
26,MARAMUREŞ,"GRĂDINIȚA NR. 1",111,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:04",840,833,0,7,0,292,285,0,7,0,277,15,900,608,5,19,101,3,19,24,52,28,4,4,7,5,2,4
26,MARAMUREŞ,"GRĂDINIȚA NR. 12",90,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:15:03",1473,1460,2,9,2,459,448,0,9,2,424,35,1600,1141,14,40,138,10,26,33,93,27,6,5,17,4,6,5
26,MARAMUREŞ,"GRĂDINIȚA NR. 9",101,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 11:54:50",1607,1592,4,9,2,607,596,0,9,2,574,32,1800,1193,11,27,205,11,36,79,103,44,2,6,19,17,5,9
26,MARAMUREŞ,"GRĂDINIȚA ROȘTI",182,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:30",500,491,0,9,0,292,283,0,9,0,269,23,500,208,2,10,121,2,14,18,64,12,2,4,3,12,3,2
26,MARAMUREŞ,"GRĂDINIȚA ȘESU MÂNĂSTIRII",384,ROZAVLEA,108669,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:20:00",792,763,0,19,10,440,411,0,19,10,394,46,900,460,2,98,179,2,35,5,24,25,4,0,11,4,5,0
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",43,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:28",1471,1453,8,10,0,513,503,0,10,0,504,9,1600,1087,1,22,158,6,52,24,111,82,9,7,11,6,7,8
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",44,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:39:52",1194,1186,2,6,0,399,393,0,6,0,391,8,1400,1001,2,12,103,5,50,22,107,44,0,3,3,28,9,3
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",45,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:23:33",830,822,1,7,0,298,291,0,7,0,287,11,900,602,5,13,81,3,31,16,66,44,6,3,8,7,3,1
26,MARAMUREŞ,"LICEUL DE ARTE",52,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:22:50",1170,1154,4,12,0,494,482,0,12,0,488,6,1300,806,1,18,156,4,32,73,69,95,3,4,4,10,7,12
26,MARAMUREŞ,"LICEUL DE ARTE",51,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:33:13",1161,1150,3,8,0,523,515,0,8,0,495,20,1300,785,1,16,166,6,36,57,74,91,2,5,14,7,2,18
26,MARAMUREŞ,"LICEUL „REGELE FERDINAND”",94,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:39:37",1070,1048,3,8,11,403,386,0,8,9,394,9,1200,797,7,32,119,10,28,18,109,25,6,10,11,7,7,5
26,MARAMUREŞ,"LICEUL „REGELE FERDINAND”",93,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:54:15",906,887,0,7,12,281,262,0,7,12,269,12,1000,719,7,27,105,4,29,15,36,19,2,2,10,4,4,5
26,MARAMUREŞ,"LICEUL „TARAS SEVCENCO”",99,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:57:23",1274,1261,5,8,0,431,423,0,8,0,416,15,1400,969,14,29,139,2,32,39,78,39,3,8,10,12,3,8
26,MARAMUREŞ,"LICEUL „TARAS SEVCENCO”",98,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:10:32",1218,1205,2,9,2,418,407,0,9,2,397,21,1300,882,19,29,126,5,34,60,44,38,6,11,9,8,0,8
