precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","POP ZAHARIE-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR.7 VIIŞOARA",56,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:11:37",1102,1087,6,9,0,417,408,0,9,0,395,22,1200,783,52,109,169,10,11,5,1,22,11,3,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ PARVA",212,PARVA,34155,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:06:43",980,970,2,1,7,607,599,0,1,7,504,103,1080,473,32,278,92,8,68,9,3,3,3,3,5
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ PIATRA FÎNTÎNELE",300,"TIHA BÂRGĂULUI",35090,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:49:13",193,179,0,14,0,193,179,0,14,0,142,51,355,162,13,77,35,1,3,2,2,5,2,1,1
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ REBRA CLASELE I-IV",223,REBRA,34262,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:11",1096,1093,0,0,3,492,489,0,0,3,413,79,1205,713,71,118,169,19,5,3,5,19,1,2,1
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ REBRA CLASELE I-IV",222,REBRA,34262,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:49:08",1000,991,0,0,9,529,520,0,0,9,464,65,1110,581,83,152,191,11,13,5,2,4,1,1,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ SEBIŞ",270,ŞIEUŢ,34850,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:28:13",675,669,0,3,3,496,491,0,3,2,441,55,743,247,66,169,112,13,23,7,3,46,0,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”SEVER POP” POIANA ILVEI",217,"POIANA ILVEI",179720,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:37",1240,1186,0,5,49,923,869,0,5,49,839,84,1360,437,83,534,144,17,18,12,9,11,2,5,4
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ SIMIONEŞTI",95,"BUDACU DE JOS",32704,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:28:34",183,174,1,6,2,109,101,0,6,2,100,9,190,81,9,50,26,2,5,1,2,4,1,0,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ SITA",245,SPERMEZEU,34547,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:36",256,240,0,4,12,161,145,0,4,12,144,17,280,119,9,19,108,1,0,0,2,0,1,2,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”ŞTEFAN CEL MARE”",40,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:07:45",1407,1393,2,12,0,546,534,0,12,0,531,15,1575,1029,70,185,176,10,25,3,5,36,13,3,5
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”ŞTEFAN CEL MARE”",39,"MUNICIPIUL BISTRIŢA",32394,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:15:12",1296,1255,3,9,29,564,527,0,9,28,549,15,1415,851,71,168,202,12,19,10,9,39,10,4,5
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ȘTEFAN CEL MARE",41,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:00:16",1423,1409,4,10,0,535,525,0,10,0,519,16,1590,1055,80,161,156,10,22,4,3,53,25,2,3
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ȘTEFAN CEL MARE",42,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:11:30",936,919,1,16,0,342,326,0,16,0,332,10,1015,673,35,119,117,5,20,5,0,17,13,1,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ TELCIŞOR",293,TELCIU,35054,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:32",891,879,0,8,4,458,446,0,8,4,389,69,970,512,18,188,111,20,12,12,4,8,1,9,6
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”TEODOR COTUŢIU” DUMBRĂVIŢA",247,SPERMEZEU,34547,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:20",649,644,0,1,4,306,301,0,1,4,283,23,715,409,15,33,211,4,3,7,1,2,0,7,0
