precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","LICSARI COSTINEL-MANUEL-voturi"
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN NEGREANU” (ȘCOALA GENERALĂ NR.9)",11,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:50:20",1688,1673,1,12,2,522,508,0,12,2,505,17,1800,1278,4,200,34,23,193,7,5,16,11,4,8
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN NEGREANU” (ȘCOALA GENERALĂ NR.9)",10,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:16:27",1328,1314,1,13,0,468,455,0,13,0,448,20,1500,1032,2,151,37,35,183,9,1,12,7,2,9
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN NEGREANU” (ȘCOALA GENERALĂ NR.9)",9,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:09:13",1460,1448,1,10,1,575,564,0,10,1,547,28,1500,925,1,192,43,42,197,12,5,26,8,1,20
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ CU CLASELE I-IV PROITEȘTI",236,PONOARELE,112995,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:22",550,537,0,12,1,370,357,0,12,1,351,19,600,230,18,187,11,32,92,2,1,6,0,1,1
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE GRECESCU” (ȘCOALA GENERALĂ NR.1)",47,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:38:31",1567,1493,4,69,1,720,667,0,52,1,682,38,2200,1480,1,263,40,62,241,19,2,27,7,2,18
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE GRECESCU” (ȘCOALA GENERALĂ NR.15 GURA VĂII)",65,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:52:18",1540,1515,0,10,15,678,653,0,10,15,668,10,1700,1022,6,357,34,65,191,9,2,1,0,0,3
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU I.TOTIR” (ȘCOALA GENERALĂ NR.10)",3,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:50:48",1427,1410,4,13,0,599,586,0,13,0,581,14,1500,905,6,171,43,35,241,15,2,28,19,2,19
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU I.TOTIR”(ȘCOALA GENERALĂ NR.10)",4,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:03:47",1347,1326,5,14,2,465,449,0,14,2,445,20,1400,915,2,157,34,35,164,14,3,8,16,3,9
27,MEHEDINŢI,"ŞCOALA GIMNAZIALĂ GVARDINIŢA",111,BĂLĂCIŢA,110535,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:03:35",879,736,0,86,57,631,488,0,86,57,596,35,900,269,8,400,45,22,97,12,3,2,5,2,0
27,MEHEDINŢI,"ŞCOALA GIMNAZIALĂ HUSNICIOARA-C2",195,HUSNICIOARA,112129,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:32",696,508,1,173,14,560,373,0,173,14,532,28,600,40,3,171,3,24,298,18,0,3,2,1,9
27,MEHEDINŢI,"SCOALA GIMNAZIALA NOAPTEȘA",271,ŞIŞEŞTI,113625,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:00:25",579,570,0,8,1,342,333,0,8,1,340,2,600,258,2,47,2,40,243,3,0,0,1,0,2
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 11",22,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:03:51",1307,1296,2,8,1,499,490,0,8,1,490,9,1400,901,2,226,46,18,157,12,2,13,3,0,11
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 11",21,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:06:10",1617,1603,0,13,1,590,576,0,13,1,570,20,1700,1110,5,254,43,42,178,7,4,13,12,1,11
