precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA U.S.R. PLUS-voturi"
39,VASLUI,"LICEUL TEHNOLOGIC ”IOAN CORIVAN”",129,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:27",1822,1814,0,8,0,420,412,0,8,0,388,32,2000,1580,30,140,166,15,15,22
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RAREŞ”",101,"MUNICIPIUL BÂRLAD",161794,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:53:39",1057,1048,1,8,0,371,363,0,8,0,347,24,1200,829,31,153,100,8,11,44
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RAREŞ”",103,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:14:25",1511,1508,0,3,0,475,472,0,3,0,459,16,1600,1125,35,171,163,7,18,65
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RAREŞ”",102,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:29",1371,1365,1,5,0,515,510,0,5,0,495,20,1400,885,39,241,128,8,13,66
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RARES” - CENTRU",501,VETRIŞOAIA,166672,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:54:47",1486,1407,1,2,76,792,715,0,2,75,757,35,1600,808,31,568,130,6,16,6
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RAREȘ” VETRIȘOAIA",502,VETRIŞOAIA,166672,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:46:53",869,815,0,3,51,453,399,0,3,51,409,44,1000,547,13,330,56,4,4,2
39,VASLUI,"LICEUL TEHNOLOGIC, SAT PUIEŞTI",411,PUIEŞTI,165470,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:52:01",1069,1059,0,2,8,571,561,0,2,8,482,89,1200,629,66,72,163,33,36,112
39,VASLUI,"LICEUL TEHNOLOGIC VLADIA",277,DRAGOMIREŞTI,163486,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:52",376,376,0,0,0,170,170,0,0,0,157,13,400,230,38,51,24,20,15,9
39,VASLUI,"LICEUL TEORETIC „EMIL RACOVIŢĂ”",40,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:31",1650,1636,5,7,2,437,428,0,7,2,416,21,2000,1563,16,140,157,11,26,66
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",7,"MUNICIPIUL VASLUI",161945,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 19:24:29",1970,1960,0,10,0,46,36,0,10,0,41,5,2000,1954,1,17,14,2,3,4
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",5,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:07",1838,1831,0,6,1,200,193,0,6,1,195,5,2000,1800,11,70,71,7,12,24
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",8,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:13:06",1951,1942,0,9,0,10,1,0,9,0,9,1,2000,1990,1,2,2,0,1,3
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",6,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:24",1840,1831,2,7,0,375,368,0,7,0,354,21,2000,1625,16,119,142,11,17,49
39,VASLUI,"LOCUINȚĂ PROPRIETATE PRIVATĂ VIERU MARIA",275,DRAGOMIREŞTI,163486,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:21",238,232,0,6,0,124,118,0,6,0,110,14,300,176,43,41,10,2,4,10
39,VASLUI,"P.A.P.I. - ACCES INTERNET, BORODEŞTI",396,POCHIDIA,167311,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:39:58",223,214,0,4,5,143,134,0,4,5,131,12,300,157,3,37,66,2,19,4
39,VASLUI,"PRĂZNICARUL BISERICII PENTICOSTALE MORĂRENI",170,"ALEXANDRU VLAHUŢĂ",162069,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:24",202,189,0,7,6,117,104,0,7,6,104,13,200,83,6,66,26,2,3,1
39,VASLUI,"ROMSILVA - RA - FILIALA VASLUI",22,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:14:29",1741,1733,1,7,0,498,491,0,7,0,473,25,2000,1502,27,190,165,15,19,57
