precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LOTREAN ELENA-voturi","PARTIDUL VERDE-voturi","BLOCUL UNITĂȚII NAȚIONALE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",90,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:31",1361,1348,3,10,0,470,460,0,10,0,462,8,1400,930,13,10,1,2,7,1,87,42,10,3,4,3,121,158
34,SIBIU,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",93,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:08:00",1065,1053,2,10,0,319,309,0,10,0,310,9,1200,881,11,4,0,5,5,0,52,28,3,2,4,3,85,108
34,SIBIU,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",92,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:22:37",1312,1292,2,18,0,395,377,0,18,0,391,4,1400,1005,10,12,0,3,1,1,54,34,11,7,9,4,117,128
34,SIBIU,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",91,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:38",1369,1360,4,5,0,459,454,0,5,0,453,6,1400,941,7,10,2,4,10,3,63,49,23,2,10,3,123,144
34,SIBIU,"ȘCOALA GIMNAZIALĂ NOIȘTAT",278,IACOBENI,144651,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:04:51",458,455,0,3,0,205,202,0,3,0,182,23,520,315,0,2,0,0,1,0,1,118,0,1,2,3,4,50
34,SIBIU,"SCOALA GIMNAZIALA NOU",333,ROŞIA,145408,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:53:15",1320,1311,0,6,3,857,848,0,6,3,722,135,1460,603,2,4,0,5,38,12,4,88,45,8,315,2,19,180
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 1",48,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:26:16",1490,1475,8,7,0,554,547,0,7,0,548,6,1600,1046,20,11,0,7,4,1,82,50,7,2,10,10,125,219
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 1",49,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:17:30",1506,1496,3,7,0,559,552,0,7,0,550,9,1600,1041,6,7,0,2,10,2,91,40,8,5,6,5,158,210
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 1",50,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:46:12",1574,1557,7,9,1,566,554,2,9,1,558,8,1600,1034,11,6,0,3,9,1,91,48,14,2,5,7,152,209
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 1",51,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:55:57",1670,1651,17,2,0,672,670,0,2,0,667,5,1800,1128,39,9,0,3,10,1,116,62,10,2,9,8,166,232
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.10",3,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:08:05",1547,1500,38,9,0,503,494,0,9,0,495,7,1600,1098,7,6,2,5,4,3,74,38,10,2,6,1,114,223
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.10",5,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:31:10",1699,1679,14,6,0,590,584,0,6,0,571,19,1800,1210,14,10,4,4,13,4,77,51,16,4,7,4,150,213
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.10",4,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:59:13",1394,1379,8,7,0,471,464,0,7,0,465,6,1400,929,15,5,2,4,7,0,92,35,8,2,8,8,109,170
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 10 CU STRUCTURA GRADINIŢA CU PROGRAM PRELUNGIT NR. 20",2,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:20",1682,1661,14,7,0,520,512,1,7,0,511,9,1800,1280,9,4,3,2,19,3,69,44,6,1,3,5,133,210
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 10 CU STRUCTURA GRADINIŢA CU PROGRAM PRELUNGIT NR. 20",1,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:54",1755,1723,16,14,2,584,568,0,14,2,574,10,2000,1416,13,10,2,3,9,1,64,46,10,2,9,7,154,244
34,SIBIU,"SCOALA GIMNAZIALA NR.10 SIBIU",106,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:18:40",1344,1322,13,9,0,499,489,1,9,0,493,6,1400,901,28,5,2,6,9,4,134,33,12,0,3,2,104,151
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.13",12,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:58:28",1256,1238,4,14,0,414,400,0,14,0,410,4,1400,986,17,9,2,5,10,1,56,38,5,1,4,5,118,139
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.13",11,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:15",1230,1221,2,7,0,396,389,0,7,0,386,10,1400,1004,12,7,1,3,7,1,70,31,8,2,5,3,96,140
